subtype,n_cells,k,silhouette,neighbour_purity,purity_null,purity_p,sections_tested,frac_sections_kw_sig
Astrocyte,1856,5,0.2153664082288742,0.6894007558034911,0.5450627881795779,0.001,11,0.36363636363636365
L2/3 IT,14224,2,0.20836274325847626,0.6324521934758155,0.525015172652968,0.001,26,0.7692307692307693
L4 IT,6012,4,0.246919184923172,0.6551858014420411,0.578167185488317,0.001,24,0.375
Oligodendrocyte,2369,8,0.14693477749824524,0.45892630689023534,0.3221637164852608,0.001,16,0.0
