subtype,donor,section,pc,morans_I,CPS
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,9,0.029459760991541392,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,10,0.0002488218940867775,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,11,0.0824908604769573,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,12,0.10140057521480403,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,13,0.07596365209450326,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,14,-0.10003622562788904,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,15,-0.026238886971111042,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,16,0.05275495668692443,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,17,-0.015792618518702773,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,18,0.022133888517590742,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,19,0.08484677810160218,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.03,20,-0.05043824487360363,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,1,-0.012303051025540381,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,2,-0.0267316452839188,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,3,0.054971036774026205,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,4,0.024088117866662907,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,5,0.02027311190530112,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,6,-0.0350336090599958,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,7,0.0015360107998065137,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,8,0.08954783550314116,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,9,0.04817990042664355,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,10,0.03298831636739812,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,11,-0.014018593638694241,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,12,0.02063140739931397,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,13,0.15240775673893103,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,14,0.05026814542533869,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,15,0.00928446989516301,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,16,0.05281593658119731,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,17,0.013291975155468616,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,18,0.10901551097425619,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,19,0.08142870427977822,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.02,20,0.05751901903426604,0.725005699
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,1,0.04099121432771916,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,2,0.07300333152320299,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,3,0.062042528824439336,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,4,0.044806085738715286,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,5,0.03193336103455458,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,6,0.035361815894632165,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,7,0.08441435295355164,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,8,0.12835307088583825,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,9,0.040206578444804644,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,10,0.0570296761785534,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,11,0.11502499203752556,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,12,0.11990491415320732,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,13,-0.08130371723050342,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,14,0.09277767598715929,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,15,0.06404102087247555,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,16,-0.014667598105576883,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,17,-0.002418442466954571,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,18,-0.0007108781634571836,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,19,0.030266104496817586,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.01,20,0.016628078445264545,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,1,0.0685191805396871,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,2,0.09329534650149507,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,3,0.0633094056259487,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,4,0.20560349997922345,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,5,-0.045662528877231455,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,6,-0.017250354199489473,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,7,-0.006322718020591322,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,8,0.018562179254916197,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,9,-0.05723763458684464,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,10,0.030574675728494576,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,11,0.042282535448019985,0.878967566
