,sevPC1,sevPC2
CPS,0.4189508581111916,-0.411074355030601
Braak,0.39193549445760734,0.884741617348353
Thal,0.4746120385792275,-0.1626319081716906
CERAD,0.4584348885943165,-0.08339907339225744
ADNC,0.48522944307549365,-0.12184253021726099
