subtype,n_pcs,severity,metric,spearman_r,p,N
L4 IT,50,Braak,meanMoranI,0.14824986333222026,0.726077451079171,8
L4 IT,50,Braak,purity,0.6547702297173061,0.07806940581071958,8
L4 IT,50,Thal,meanMoranI,-0.048492864496887195,0.9092183207331314,8
L4 IT,50,Thal,purity,0.303080403105545,0.465565587468576,8
L4 IT,50,CERAD,meanMoranI,0.4694579005520308,0.24054568939616214,8
L4 IT,50,CERAD,purity,0.5559369874958259,0.15248060078875422,8
L4 IT,50,ADNC,meanMoranI,0.1543033499620919,0.7152407778441923,8
L4 IT,50,ADNC,purity,0.41147559989891175,0.3111446791773791,8
Oligodendrocyte,10,CPS,meanMoranI,-0.49999999999999994,0.39100221895577053,5
Oligodendrocyte,10,CPS,purity,0.09999999999999999,0.8728885715695383,5
Oligodendrocyte,10,Braak,meanMoranI,0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,10,Braak,purity,-0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,10,Thal,meanMoranI,0.31622776601683794,0.604181303590592,5
Oligodendrocyte,10,Thal,purity,-0.6324555320336759,0.2522154963555042,5
Oligodendrocyte,10,CERAD,meanMoranI,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,10,CERAD,purity,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,10,ADNC,meanMoranI,0.31622776601683794,0.604181303590592,5
Oligodendrocyte,10,ADNC,purity,-0.5270462766947299,0.3614548502018728,5
Oligodendrocyte,20,CPS,meanMoranI,-0.39999999999999997,0.5046315754686911,5
Oligodendrocyte,20,CPS,purity,0.09999999999999999,0.8728885715695383,5
Oligodendrocyte,20,Braak,meanMoranI,0.20519567041703082,0.7405819415910722,5
Oligodendrocyte,20,Braak,purity,-0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,20,Thal,meanMoranI,0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,20,Thal,purity,-0.6324555320336759,0.2522154963555042,5
Oligodendrocyte,20,CERAD,meanMoranI,-0.31622776601683794,0.604181303590592,5
Oligodendrocyte,20,CERAD,purity,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,20,ADNC,meanMoranI,0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,20,ADNC,purity,-0.5270462766947299,0.3614548502018728,5
Oligodendrocyte,50,CPS,meanMoranI,0.0,1.0,5
Oligodendrocyte,50,CPS,purity,0.09999999999999999,0.8728885715695383,5
Oligodendrocyte,50,Braak,meanMoranI,0.15389675281277312,0.8048288166080632,5
Oligodendrocyte,50,Braak,purity,-0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,50,Thal,meanMoranI,0.4743416490252569,0.41953112817892124,5
Oligodendrocyte,50,Thal,purity,-0.6324555320336759,0.2522154963555042,5
Oligodendrocyte,50,CERAD,meanMoranI,-0.3689323936863109,0.5411457083064428,5
Oligodendrocyte,50,CERAD,purity,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,50,ADNC,meanMoranI,0.21081851067789192,0.7335793204938506,5
Oligodendrocyte,50,ADNC,purity,-0.5270462766947299,0.3614548502018728,5
