space,pc,var_explained,morans_I,E_perm,p_perm
GRN,1,0.0014682086184620857,0.24089898512645458,0.03914656787620966,0.001
GRN,2,0.00664089759811759,0.3076685908621401,0.03894405126682999,0.001
GRN,3,0.0020153727382421494,0.2682794842414762,0.03873422232667101,0.001
GRN,4,0.0018474534153938293,0.5812410586947618,0.03883098766337853,0.001
GRN,5,0.0015489879297092557,0.1728252980869422,0.03892564552330199,0.001
GRN,6,0.001390232122503221,0.30330817053538844,0.03893370876282869,0.001
GRN,7,0.001317141461186111,0.2608200154751021,0.038975847184161194,0.001
GRN,8,0.0012148091336712241,0.135657864796835,0.039045038935224305,0.001
GRN,9,0.0010962679516524076,0.20529741686605443,0.038898366536957094,0.001
GRN,10,0.0010532523738220334,0.1386451155078657,0.03904581045141054,0.001
GRN,11,0.0010317455744370818,0.16406269256353903,0.03906066776587944,0.001
GRN,12,0.0009769803145900369,0.11097416927045206,0.03879018537524132,0.001
GRN,13,0.0009285929845646024,0.06931255950523284,0.039027020921064075,0.001
GRN,14,0.000919613114092499,0.09135166677963942,0.03901031804821235,0.001
GRN,15,0.0008955597295425832,0.10707490870465966,0.03878746557762701,0.001
GRN,16,0.0008652889518998563,0.08830442203711562,0.038805916926510337,0.001
GRN,17,0.0008597064879722893,0.05103155648080658,0.03891198702255855,0.013
GRN,18,0.0008422750979661942,0.08580224034528092,0.038857235758209305,0.001
GRN,19,0.0008176806150004268,0.05409331241211125,0.03882669852955494,0.002
GRN,20,0.0007952640880830586,0.08486152648575601,0.03911628953651497,0.001
expression,1,0.21026211977005005,0.2637774839469382,0.03894090260198089,0.001
expression,2,0.11688638478517532,0.2643919823876299,0.03872369581443511,0.001
expression,3,0.06027986481785774,0.2709538994831845,0.0389849384194845,0.001
expression,4,0.059785500168800354,0.11587822825332056,0.03891558834389611,0.001
expression,5,0.04559123143553734,0.09395900530003927,0.0389135993142409,0.001
expression,6,0.038989514112472534,0.17810069551637525,0.039006242153129214,0.001
expression,7,0.03071342594921589,0.14149652178427122,0.03885649363833913,0.001
expression,8,0.02662501484155655,0.17537973064023374,0.03926999237069944,0.001
expression,9,0.024579837918281555,0.0782105957230716,0.038677137092554305,0.001
expression,10,0.02223295532166958,0.166731706655426,0.03887566259792197,0.001
expression,11,0.02111389860510826,0.08864299415754218,0.038723023020926,0.001
expression,12,0.017960838973522186,0.09410221396422787,0.03916570803592483,0.001
expression,13,0.01622205413877964,0.11742585760931583,0.038964590805898223,0.001
expression,14,0.015185474418103695,0.05330320448130105,0.038848428791886776,0.021
expression,15,0.014094562269747257,0.11913569373952237,0.038843727207742366,0.001
expression,16,0.012657458893954754,0.05928916332290031,0.03874779052020518,0.001
expression,17,0.0119533222168684,0.12039993834794871,0.03913043281816943,0.001
expression,18,0.010856065899133682,0.10737621700645979,0.038657932243662624,0.001
expression,19,0.010556479915976524,0.11033526003606639,0.03878094233172461,0.001
expression,20,0.009387517347931862,0.06643014277842714,0.03871981141205277,0.001
