space,pc,var_explained,morans_I,E_perm,p_perm
GRN,1,0.000644628016743809,0.373535943870407,0.026534259742535062,0.001
GRN,2,0.00556127168238163,0.11983212476366793,0.026066854270023337,0.001
GRN,3,0.003652389394119382,0.16246369735766797,0.026449712634669807,0.001
GRN,4,0.002697444986552,0.6330502719671179,0.02579096387684377,0.001
GRN,5,0.0025806277990341187,0.5556341787767243,0.026344321617458585,0.001
GRN,6,0.0021277768537402153,0.13265107688074634,0.026309743119956673,0.001
GRN,7,0.0019608689472079277,0.21680029332016076,0.02601351383545315,0.001
GRN,8,0.0018546205246821046,0.2049609764628416,0.026348149860873762,0.001
GRN,9,0.0015609165420755744,0.13863474491741198,0.026512427611243818,0.001
GRN,10,0.0014873275067657232,0.09813273558183626,0.02614364653425523,0.001
GRN,11,0.0014602196170017123,0.0692055568398388,0.027018129834994572,0.001
GRN,12,0.0014284331118687987,0.046781584521985754,0.026542653291787854,0.008
GRN,13,0.0013981080846861005,0.05597391452156472,0.025970983091640077,0.001
GRN,14,0.0013694268418475986,0.06935391476766802,0.025817657154516893,0.001
GRN,15,0.0012923377798870206,0.05028674816773408,0.026389254219691842,0.003
GRN,16,0.0012474600225687027,0.04707508536974319,0.026395955818741015,0.002
GRN,17,0.0012328658485785127,0.045857148999206024,0.026179702496504545,0.005
GRN,18,0.0011970421764999628,0.0883006692456668,0.026257735703233656,0.001
GRN,19,0.0011571251088753343,0.04068789499353244,0.025977979546065455,0.04
GRN,20,0.0011547133326530457,0.046372863156001906,0.026205927116843254,0.005
expression,1,0.3126083016395569,0.20534047127322758,0.02624301812418803,0.001
expression,2,0.15600991249084473,0.24427095490037654,0.02613509171490141,0.001
expression,3,0.07934984564781189,0.23051335821871533,0.026187788228526045,0.001
expression,4,0.06001892313361168,0.19442714584729656,0.026130213574312007,0.001
expression,5,0.0496363639831543,0.16846032220994753,0.025959568729277852,0.001
expression,6,0.03660526126623154,0.16787746691051353,0.025993918318733992,0.001
expression,7,0.03044612519443035,0.16226264445945493,0.026687525158440056,0.001
expression,8,0.020380116999149323,0.1397633671911542,0.026340593524474095,0.001
expression,9,0.016099343076348305,0.2409857736948793,0.026153398994231955,0.001
expression,10,0.01501207984983921,0.06155080136560047,0.026052409741203545,0.001
expression,11,0.01296268217265606,0.08282830340515286,0.02606565353079918,0.001
expression,12,0.012448509223759174,0.14534831674849244,0.026404285196393717,0.001
expression,13,0.011777728796005249,0.07341541833096046,0.026075043388112062,0.001
expression,14,0.009163131937384605,0.09114081882948157,0.026483925554854643,0.001
expression,15,0.008781913667917252,0.06916445154803492,0.026392954405554198,0.001
expression,16,0.008598573505878448,0.09948631715623224,0.02650203456191909,0.001
expression,17,0.007345818914473057,0.10370194049150461,0.026415379923136306,0.001
expression,18,0.007023768499493599,0.10479832483874528,0.02674588947999101,0.001
expression,19,0.006319823674857616,0.09134280161398134,0.026471012474781033,0.001
expression,20,0.005937516689300537,0.11188909725923718,0.026144445434471433,0.001
