subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC012494.1,497,0.020675344908649227,0.021988867968684128,0.567,0.023113684440622475,0.214,17,236,1720,17,-0.044454574137116024,0.01747909372364232,0.10887943021773548
L2/3 IT,AC012494.1,497,0.039150173557924425,0.037507473496026386,0.005,0.03083769579438864,0.156,26,11998,14197,26,-0.021108111692414805,0.030767944012683235,0.0645371441118549
L4 IT,AC012494.1,497,0.025786899015360833,0.02299529939248507,0.111,0.02111879789654007,0.231,24,3082,5974,24,-0.029106301797679163,0.025634691202885904,0.05007351449614188
Oligodendrocyte,AC012494.1,497,0.020953800725333337,0.021435407120257828,0.918,0.012152691520700747,0.646,16,2240,2240,16,-0.008850758550840221,0.011142029015513383,0.0334860837341406
Astrocyte,AC099517.1,494,0.0330907720114625,0.02145523942795758,0.063,0.018955584619023903,0.43,17,205,1720,17,-0.05101163816022108,0.009389345923467468,0.1024659864453615
L2/3 IT,AC099517.1,494,0.05047738299045563,0.03604756976620121,0.001,0.0436131247046114,0.001,26,4033,14197,26,-0.02416342630692499,0.04555847695724518,0.08435741205038418
L4 IT,AC099517.1,494,0.020693066178625475,0.021911017715641485,0.653,0.01812908074170386,0.641,24,1083,5974,24,-0.03507872106110814,0.02099172056517483,0.04082954828105873
Oligodendrocyte,AC099517.1,494,0.012039499697385917,0.016699661053746137,0.732,0.009782811411008098,0.602,16,183,2240,16,-0.044314341187775885,0.0036984524626703045,0.06420628216522654
Astrocyte,AL163541.1,499,0.02229060183912039,0.021681535014285883,0.037,0.0180128998085631,0.066,17,1720,1720,17,-0.00510107845184252,0.018332978618509892,0.035398313012916086
L2/3 IT,AL163541.1,499,0.03846681088238575,0.037175477016319985,0.001,0.030854116594194732,0.001,26,14197,14197,26,-0.010159508272333074,0.03030028791725417,0.06720496231063722
L4 IT,AL163541.1,499,0.023363086552547718,0.02266403409371114,0.001,0.01993589025907343,0.001,24,5974,5974,24,-0.015510703078338869,0.021091887108680103,0.035078129387308914
Oligodendrocyte,AL163541.1,499,0.021574245017720647,0.021497202983708785,0.385,0.012285803752508258,0.565,16,2240,2240,16,-0.007679873134392292,0.009917891057507917,0.035298685416372017
Astrocyte,CALCRL,499,0.038603837810210366,0.020604673203506188,0.001,0.029811256237559536,0.006,17,859,1720,17,-0.023657880126793925,0.032666857192683224,0.08774588151077807
L2/3 IT,CALCRL,499,0.041442054144050756,0.03717343879856795,0.001,0.034660693146761075,0.001,26,11735,14197,26,-0.012455012224747207,0.035567285164546894,0.06982982209243274
L4 IT,CALCRL,499,0.019542806806833294,0.023063917977626663,0.884,0.01490157918079229,0.909,24,1875,5974,24,-0.02672184248082116,0.017436678737506085,0.04512136491107518
Oligodendrocyte,CALCRL,499,0.020654662085577466,0.018854717559042847,0.384,0.002945235405829454,0.903,16,222,2240,16,-0.059511699810956685,0.00600375992610579,0.06574123372650485
