subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC023503.1,483,0.0449149852706398,0.02719390979705731,0.05,0.0519078218428254,0.019,10,73,1720,17,-0.007431014543388183,0.05822321812361844,0.15911864735872705
L2/3 IT,AC023503.1,483,0.04081795020501609,0.03673871239943398,0.117,0.03864046244031959,0.028,26,760,14197,26,-0.014334998449933944,0.035871600843872864,0.13888888888888856
L4 IT,AC023503.1,483,0.033999062129214004,0.02297880843207509,0.006,0.027034855085455323,0.048,24,853,5974,24,-0.031007751937985172,0.026573459074577872,0.06644366817466296
Oligodendrocyte,AC023503.1,483,0.0038729193382380433,0.016730153725901906,0.879,0.001878902427162014,0.947,8,28,2240,16,-0.008168351762998615,-0.0023102678699090133,0.03407287791808298
Astrocyte,AC114971.1,499,0.022849275834956464,0.021691968364838457,0.001,0.01872801921730034,0.003,17,1720,1720,17,-0.003015559671245401,0.016597685239343695,0.036324251175386416
L2/3 IT,AC114971.1,499,0.03852799701215102,0.03717852971187317,0.001,0.030688615386403082,0.001,26,14197,14197,26,-0.010769319567897504,0.031025595641797667,0.06790544774296722
L4 IT,AC114971.1,499,0.023224098213686085,0.022648439846114463,0.001,0.019881839041191684,0.002,24,5974,5974,24,-0.015870276340614792,0.021285519431083245,0.034625148659622844
Oligodendrocyte,AC114971.1,499,0.021714476227793503,0.02150557689985155,0.242,0.012700072122187706,0.156,16,2240,2240,16,-0.007122991755298519,0.01092549486969424,0.035012769134939524
Astrocyte,AL445207.1,499,0.022779514109447663,0.02105553389823972,0.441,0.034184247144936133,0.133,14,45,1720,17,-0.036827959563571856,0.031958176100414695,0.15584415584415096
L2/3 IT,AL445207.1,499,0.0693970964108355,0.03778995914311585,0.001,0.05839204148282884,0.001,26,8429,14197,26,0.0018079918680212485,0.05749133553635964,0.1131708515371335
L4 IT,AL445207.1,499,0.03200101898098078,0.02236050029053829,0.002,0.02793254274035255,0.015,24,1295,5974,24,-0.029100510457670446,0.03523352496584209,0.0787000660681575
Oligodendrocyte,AL445207.1,499,0.023287879955722755,0.02078984321478723,0.381,0.00238788573302413,0.881,15,55,2240,16,-0.04661487546529734,-0.01675977653631232,0.1065152945665174
Astrocyte,CHI3L1,499,0.021575622626522642,0.021867575045382358,0.777,0.01660371880627558,0.921,17,1698,1720,17,-0.008474701191191513,0.016122504628779132,0.0381678965984322
L2/3 IT,CHI3L1,499,0.06300579267010403,0.03759893713864136,0.001,0.0524513985041991,0.001,26,7862,14197,26,-0.010612490988588704,0.05758811110257787,0.09393107763956439
L4 IT,CHI3L1,499,0.02694417821535667,0.022566719226974386,0.001,0.02307191290191095,0.001,24,5094,5974,24,-0.021417592058537247,0.023959611324572867,0.03952822022213505
Oligodendrocyte,CHI3L1,499,0.012943857498211569,0.019995723302807415,0.731,-0.006138461260282035,0.696,11,49,2240,16,-0.043129985936115986,-0.01116176396635402,0.05260104158622843
Astrocyte,FYB1,491,0.014037195095712596,0.019813304415750084,0.757,0.00907339059643062,0.842,17,193,1720,17,-0.04876284029330324,0.00719208414269904,0.059189588969624514
L2/3 IT,FYB1,491,0.041933408196297255,0.03678049096993584,0.011,0.032678696017262136,0.144,26,3771,14197,26,-0.0496585426260537,0.03694175099906623,0.07676564346921613
L4 IT,FYB1,491,0.019509122508658737,0.021675536559828696,0.75,0.016344804174313093,0.785,24,1444,5974,24,-0.06583160757886722,0.018037181984378814,0.055426280453428046
Oligodendrocyte,FYB1,491,0.03314076768579712,0.021989289555601272,0.044,0.02361237003705631,0.091,16,240,2240,16,-0.044510160162675394,0.026096332533980294,0.10800425932067277
Astrocyte,LINC00609,499,0.022150087010877097,0.021687134930173955,0.111,0.017563142683249003,0.295,17,1720,1720,17,-0.006160380482932284,0.014387344217917682,0.034967162785951654
L2/3 IT,LINC00609,499,0.038378508160344535,0.03717371106681347,0.001,0.030643636314354974,0.001,26,14197,14197,26,-0.010122001350027256,0.03055281171497423,0.06721930217711575
L4 IT,LINC00609,499,0.02320166059893898,0.022663119138086083,0.001,0.01985952101580876,0.003,24,5974,5974,24,-0.014370374685024195,0.021405987043291552,0.03519047019040833
Oligodendrocyte,LINC00609,499,0.02158624962390997,0.02150228106171356,0.385,0.012181966955999511,0.652,16,2240,2240,16,-0.009966706766902667,0.010112549500223628,0.03526927157771971
Astrocyte,LMCD1,497,0.025707458706600666,0.022004655837865834,0.157,0.024576567168687374,0.058,17,1013,1720,17,-0.018092370989245987,0.023710347913234824,0.07443224759281246
