subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC064875.1,499,0.021871986431427622,0.021737696126069458,0.358,0.017219586697272398,0.554,17,1720,1720,17,-0.010481900604926559,0.016699408717149748,0.03544723918142749
L2/3 IT,AC064875.1,499,0.038336597869714245,0.037189504469693296,0.001,0.030682844278942138,0.001,26,14197,14197,26,-0.009981246488265764,0.030702287038891926,0.06745286137088978
L4 IT,AC064875.1,499,0.022983132811829607,0.02265766581082915,0.019,0.01975732914982283,0.008,24,5974,5974,24,-0.011826234546734649,0.020451528693379614,0.03480248732360591
Oligodendrocyte,AC064875.1,499,0.021614436960860933,0.021488962499699647,0.334,0.012230214558894965,0.567,16,2240,2240,16,-0.011354542696569058,0.010825377848154079,0.03461454378969363
Astrocyte,AC128685.1,489,0.04892908985425606,0.022761240645502435,0.014,0.054198068075698574,0.009,12,48,1720,17,-0.029940992786524383,0.03960885333028599,0.15425531914893748
L2/3 IT,AC128685.1,489,0.03960508677707937,0.036482821399107225,0.118,0.03288725546875059,0.167,26,2035,14197,26,-0.02388371865158962,0.03309334267584482,0.0785196792405711
L4 IT,AC128685.1,489,0.021548324637166598,0.022758985833893353,0.71,0.016633061691122206,0.857,24,2995,5974,24,-0.020047627492121155,0.019389645372908458,0.04536224551528576
Oligodendrocyte,AC128685.1,489,0.024773889466539082,0.021199932652039073,0.383,0.023723690198613735,0.323,11,39,2240,16,-0.013605442176873242,0.016852750359260163,0.15950845814602568
Astrocyte,AL589693.1,499,0.02309518965282502,0.02166420644095933,0.001,0.018606048816868007,0.009,17,1720,1720,17,-0.007474986935289646,0.01759992280009917,0.03538748921939648
L2/3 IT,AL589693.1,499,0.03961228889497771,0.03718891690751943,0.001,0.03170741690626834,0.001,26,14197,14197,26,-0.010484966208152084,0.03201261691894895,0.0688115082058959
L4 IT,AL589693.1,499,0.02341673420533551,0.022659995606469367,0.001,0.019722496726112662,0.013,24,5974,5974,24,-0.019981795123975327,0.021238737615559906,0.03522508650683079
Oligodendrocyte,AL589693.1,499,0.021529609508508046,0.02151706225709433,0.486,0.012671983956378495,0.187,16,2240,2240,16,-0.007828372925097523,0.01050559115959655,0.03469163821995507
Astrocyte,CNR1,499,0.026490652507317046,0.021390373663271012,0.198,0.025020247268259764,0.127,17,430,1720,17,-0.043159122457179615,0.025264097304145892,0.09158137075854049
L2/3 IT,CNR1,499,0.03863671554553733,0.03715657591393262,0.001,0.030860065845406553,0.001,26,13978,14197,26,-0.009253541635681331,0.03127400492516075,0.06816536848320905
L4 IT,CNR1,499,0.023546168880707985,0.022679284890274962,0.003,0.020120723816685327,0.002,24,5834,5974,24,-0.01533324340012871,0.01998875958445901,0.03552030037254194
Oligodendrocyte,CNR1,499,0.017292173859372394,0.021636190100590907,0.79,0.010600272323838618,0.606,16,613,2240,16,-0.042797799958687564,0.010002885172071065,0.07861358820715286
Astrocyte,GLI3,499,0.02249521852127386,0.021680979302838247,0.018,0.017852911351347478,0.131,17,1720,1720,17,-0.006243596037079785,0.014942333897907108,0.03546585929243818
L2/3 IT,GLI3,499,0.0386557659737199,0.03719141174698044,0.001,0.030972277056189976,0.001,26,14197,14197,26,-0.012156916542509522,0.030787972794526323,0.06747433346438768
L4 IT,GLI3,499,0.023141468126597727,0.022656840471695323,0.002,0.019678689148273528,0.036,24,5974,5974,24,-0.015923176562642433,0.021190748879908322,0.034636074154595256
Oligodendrocyte,GLI3,499,0.02185596098686308,0.021476860634108735,0.127,0.01290651656011597,0.068,16,2240,2240,16,-0.0070918217705944284,0.010314459403512843,0.034487506309266065
Astrocyte,LINC01060,497,0.01242282330587338,0.02129147095874932,0.915,0.022310083243397588,0.262,17,296,1720,17,-0.04570341820642071,0.01043625284302289,0.10262951690877994
L2/3 IT,LINC01060,497,0.04572336714211169,0.037444862335019494,0.001,0.036386921011951824,0.003,26,7940,14197,26,-0.029620333141848868,0.040043392865596904,0.07358201906540054
L4 IT,LINC01060,497,0.023036434127681905,0.022438455534835547,0.389,0.01892044471458652,0.572,24,3171,5974,24,-0.04832463851894595,0.02423302076936315,0.046243981533435834
Oligodendrocyte,LINC01060,497,0.015179884390083888,0.021671471626681503,0.871,0.002746731971264222,0.937,16,452,2240,16,-0.08904627198398135,0.005050478390430527,0.04868828109905195
Astrocyte,LUZP2,499,0.023494058831019887,0.02090874742434406,0.282,0.021873531769194945,0.161,17,878,1720,17,-0.008020839224895255,0.019447494319552013,0.05926003072618886
L2/3 IT,LUZP2,499,0.037755197667994886,0.03720166982834612,0.027,0.03005352348354617,0.14,26,13391,14197,26,-0.013196163351085054,0.0300565431988203,0.06741857648373781
L4 IT,LUZP2,499,0.023902236872920656,0.02266516531282297,0.049,0.021070777824360537,0.008,24,5347,5974,24,0.0035905151404542384,0.021099402297457624,0.036819703778619116
Oligodendrocyte,LUZP2,499,0.013753740572450306,0.021065391631450266,0.973,0.00546703022340767,0.932,16,1040,2240,16,-0.03625731841865181,0.013968181265089755,0.026327205012824404
Astrocyte,PDZRN4,498,0.022455380719548862,0.021909540382025996,0.319,0.01712506815025159,0.526,17,1588,1720,17,-0.03549086071487308,0.0175308181243026,0.03760440338334972
L2/3 IT,PDZRN4,498,0.038341317487388074,0.03725717983529586,0.001,0.030536614671574622,0.001,26,14108,14197,26,-0.011132364519471909,0.030477259306715646,0.06635459019235058
L4 IT,PDZRN4,498,0.02392938876047736,0.022663053001375465,0.001,0.02031862802670245,0.001,24,5866,5974,24,-0.015575297344062936,0.02025445558443702,0.03593611231402636
Oligodendrocyte,PDZRN4,498,0.024678017296236754,0.02145998850904138,0.046,0.015074875078220636,0.082,16,1843,2240,16,-0.008908531344915505,0.017383715149039893,0.04556070151656835
Astrocyte,SLC15A5,488,0.017431015616770757,0.02194450656477899,0.875,0.015411996033958231,0.626,17,923,1720,17,-0.03280680333786666,0.02077788324848585,0.05902649710397566
L2/3 IT,SLC15A5,488,0.045332630049321344,0.03763397373551483,0.001,0.03829739243972949,0.001,26,3993,14197,26,0.012357843193627658,0.039838602921373825,0.0718616916047594
L4 IT,SLC15A5,488,0.016801157969394725,0.02278758732205172,0.964,0.013732571790560292,0.938,24,1060,5974,24,-0.0373384243076994,0.012712159596565603,0.04295715448651811
Oligodendrocyte,SLC15A5,488,0.0143285611875439,0.01951280455394064,0.669,0.029450066759253095,0.122,14,62,2240,16,-0.033197173716380736,-0.002005879427086436,0.15938864628820273
Astrocyte,XACT,495,0.02658928649883743,0.021344383238149186,0.213,0.014699201131222913,0.62,17,320,1720,17,-0.06910506999141522,0.004001698009436963,0.07397210929921065
L2/3 IT,XACT,495,0.04049100275126188,0.03730792978196273,0.012,0.03307026000394785,0.049,26,8167,14197,26,-0.005063733001888653,0.034101042365392784,0.06737199750332082
L4 IT,XACT,495,0.021338753706862983,0.022388067334237472,0.67,0.017294880142687357,0.761,24,2933,5974,24,-0.05759938921825827,0.02260566529957201,0.050416609286333944
Oligodendrocyte,XACT,495,0.014517573465090779,0.019296153458833946,0.772,0.013542572021706441,0.424,16,274,2240,16,-0.03044078186172339,0.012778499216310205,0.05301198293537969
