subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC073941.1,491,0.023373606248119055,0.02172440289003209,0.05,0.018389234983372988,0.248,17,1601,1720,17,-0.0075715467361540615,0.018636176888910557,0.03783606970662635
L2/3 IT,AC073941.1,491,0.041717640272247294,0.03680807899676036,0.012,0.031927970882216564,0.243,26,3310,14197,26,-0.028422742713595045,0.036351228046459766,0.062013421262427725
L4 IT,AC073941.1,491,0.02577717369064815,0.022280346399614636,0.163,0.020494252735296842,0.366,24,1078,5974,24,-0.028258877193358147,0.02418006001182977,0.05998885404972145
Oligodendrocyte,AC073941.1,491,0.016069440361882965,0.017807540528046464,0.553,0.009041303200984157,0.573,14,56,2240,16,-0.03203513225255597,-0.007924441360194953,0.100476232967958
Astrocyte,ADAMTS17,498,0.021997149868748237,0.021739113272716864,0.244,0.01725223160342452,0.537,17,1720,1720,17,-0.010007518020687577,0.01590826395657911,0.03533224365451145
L2/3 IT,ADAMTS17,498,0.03796906114139685,0.03718923004090315,0.001,0.030346670028053947,0.004,26,13881,14197,26,-0.011500743364586632,0.03006275953815424,0.06866897050241419
L4 IT,ADAMTS17,498,0.02276265464813993,0.022642434842622416,0.408,0.01965337251606433,0.242,24,5630,5974,24,-0.016063978116280474,0.020550248918625346,0.03477781434110502
Oligodendrocyte,ADAMTS17,498,0.025802468705273342,0.0213792006860183,0.082,0.0174461991862178,0.109,16,1388,2240,16,-0.007325266418296614,0.016890152460853958,0.0452108820801243
Astrocyte,ANGPT1,493,0.02258977807271498,0.021724795617974992,0.111,0.018429836318366127,0.191,17,1669,1720,17,-0.008385511685910552,0.019709322629438607,0.037351363871227186
L2/3 IT,ANGPT1,493,0.049662823784712096,0.03715041992223833,0.001,0.03968886943276514,0.001,26,5493,14197,26,-0.021212409048341766,0.0428093172410053,0.0728996714731137
L4 IT,ANGPT1,493,0.033174511929830036,0.022307051455515505,0.001,0.027545891239483672,0.01,24,2326,5974,24,-0.04317607741376381,0.02848220322071252,0.07858925179600097
