subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC005909.2,497,0.021825869007185618,0.021468430157984088,0.46,0.015720998359377382,0.552,17,187,1720,17,-0.032770889353262604,0.010437797431629599,0.10370179784047229
L2/3 IT,AC005909.2,497,0.0569826630081963,0.03744409416059236,0.001,0.0442339784908209,0.001,26,5758,14197,26,-0.06622397997031704,0.05327101648437065,0.09317876757163837
L4 IT,AC005909.2,497,0.027496186905532682,0.022420211629350845,0.019,0.025866106025645513,0.008,24,2767,5974,24,-0.0078018092552787415,0.02512018788360534,0.06339410906476119
Oligodendrocyte,AC005909.2,497,0.021302646898296987,0.019985656730350673,0.435,0.016074169786939912,0.316,16,138,2240,16,-0.0601465721156923,0.014445516345971224,0.0941090081074759
Astrocyte,AC090015.1,498,0.000617845527730125,0.021836058382896747,0.999,-0.01110047507850921,0.775,17,218,1720,17,-0.05056111271099208,-0.013647439745155933,0.04993915911234281
L2/3 IT,AC090015.1,498,0.054065235962961256,0.03731380020727952,0.001,0.04314769138245745,0.001,26,9933,14197,26,-0.016154402258131615,0.04541580916814085,0.08251605382491527
L4 IT,AC090015.1,498,0.03332984815383339,0.022585054571371905,0.001,0.03044246159014198,0.001,24,3352,5974,24,-0.000569985444533848,0.030257712278117216,0.06508272097314968
Oligodendrocyte,AC090015.1,498,0.020822034310016616,0.021507864222305148,0.985,0.011385649535709568,0.989,16,2240,2240,16,-0.008078494377991708,0.008081363760916602,0.034063203503958375
Astrocyte,AGBL1,499,0.02216245151535118,0.021664027769446266,0.07,0.017487546385772646,0.326,17,1720,1720,17,-0.0071956823858019825,0.01785340616744448,0.0347409500604402
L2/3 IT,AGBL1,499,0.03866254251374586,0.03716284656816468,0.001,0.03087403599473783,0.001,26,14197,14197,26,-0.009930578972389057,0.0303971632974371,0.06790282474662371
