subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC006305.1,499,0.021874016678817835,0.021689823808775696,0.312,0.017428670686628497,0.384,17,1720,1720,17,-0.005824871247213114,0.01585735661797994,0.03645010302639347
L2/3 IT,AC006305.1,499,0.03837599082469394,0.03718639582820786,0.001,0.030656710909150245,0.001,26,14197,14197,26,-0.010857620547857962,0.030428591037323583,0.06766732433075864
L4 IT,AC006305.1,499,0.02285155439957331,0.022648460753766992,0.077,0.019404990076697926,0.323,24,5974,5974,24,-0.016834508103029642,0.020588625576624393,0.03421518286557764
Oligodendrocyte,AC006305.1,499,0.021685462922949063,0.021491166276968558,0.249,0.012634351838346929,0.205,16,2240,2240,16,-0.008286883160185377,0.010267348170263615,0.034847629013840156
Astrocyte,AC090125.1,498,0.02707927672211288,0.023129756446132185,0.236,0.020238428525884262,0.429,15,516,1720,17,-0.03222762831769554,0.023840454687168076,0.06453278612255801
L2/3 IT,AC090125.1,498,0.03921440054536661,0.03715240621826569,0.001,0.030963547949953332,0.001,26,13082,14197,26,-0.012199080628315206,0.03159713926349072,0.07166382426530293
L4 IT,AC090125.1,498,0.02476841234580493,0.02278022931685062,0.12,0.022217540644432415,0.076,24,4098,5974,24,-0.003068448386491258,0.022534082426692727,0.042216854206919466
Oligodendrocyte,AC090125.1,498,0.016688452873310906,0.02129743137849212,0.739,0.007232313087537827,0.706,16,222,2240,16,-0.035767515663296015,0.01210331588330978,0.054847471667634186
Astrocyte,AJ009632.2,499,0.018595163178169664,0.021545846778645364,0.739,0.014677526032985921,0.684,17,742,1720,17,-0.029002059740797084,0.01396549930629811,0.04875351184742766
L2/3 IT,AJ009632.2,499,0.04013851717465399,0.03714887774180847,0.001,0.03208581332479035,0.001,26,13835,14197,26,-0.010663697275530185,0.032728616902655376,0.06857826022543868
L4 IT,AJ009632.2,499,0.02666457054653979,0.022590255328695536,0.001,0.0225941039406883,0.005,24,4871,5974,24,-0.022028266904628724,0.02214420748822706,0.043324849333704646
Oligodendrocyte,AJ009632.2,499,0.028825398538660868,0.021611775310007186,0.049,0.01714029830311726,0.203,16,807,2240,16,-0.047447420651935655,0.024560368963700015,0.04785669623447166
Astrocyte,ARHGAP15,499,0.022181922993992544,0.02003535784171148,0.343,0.016548635905587476,0.543,17,464,1720,17,-0.026468526858585077,0.016182396288097017,0.06331882762248262
L2/3 IT,ARHGAP15,499,0.041396733521138096,0.037103327863974626,0.001,0.03201712817460745,0.087,26,10300,14197,26,-0.011825284515584811,0.029802417065323536,0.07412865595226148
L4 IT,ARHGAP15,499,0.024585060233442736,0.022527341042020286,0.042,0.021427887933788765,0.06,24,4750,5974,24,-0.002488015373692542,0.019170054953718145,0.04072719167625463
Oligodendrocyte,ARHGAP15,499,0.019147396537007574,0.02135242756409609,0.685,0.007506547334308389,0.818,16,807,2240,16,-0.0384368704463777,0.01155289162721586,0.062117874974645805
Astrocyte,DLX6-AS1,499,0.02261159181947898,0.02172108380098749,0.008,0.018468308687991108,0.014,17,1720,1720,17,-0.0062377131200589565,0.01752787529094161,0.038256199491340716
L2/3 IT,DLX6-AS1,499,0.03825826440180131,0.037193009337476136,0.001,0.030635911626761277,0.001,26,14197,14197,26,-0.010138555808151989,0.030668461435818178,0.06750696806675263
L4 IT,DLX6-AS1,499,0.022945109713002006,0.022662154735090714,0.048,0.01955863110511434,0.113,24,5974,5974,24,-0.01616418296867606,0.021039253000244496,0.03389665368703706
Oligodendrocyte,DLX6-AS1,499,0.021294843894534007,0.02150377805109225,0.733,0.012031136459633784,0.761,16,2240,2240,16,-0.01022055684773646,0.009060369466797016,0.03428557300079815
Astrocyte,HTR2C,494,0.02827667898925418,0.021074113092927494,0.116,0.024354574487153075,0.15,17,430,1720,17,-0.050092534479794344,0.03381651762680159,0.1160512954815149
L2/3 IT,HTR2C,494,0.03899063166597611,0.037189939084969016,0.105,0.03186911988593781,0.146,26,7663,14197,26,-0.014312118485624551,0.03865426565365436,0.06524540366683712
L4 IT,HTR2C,494,0.024494598253445948,0.022258179337045214,0.176,0.023844250197304333,0.06,24,2926,5974,24,-0.006255771138329279,0.02169439751306204,0.04854681063856365
Oligodendrocyte,HTR2C,494,0.006396585388608362,0.020392914891306457,0.999,-0.00012521896440080907,0.999,16,558,2240,16,-0.0456903999360798,-0.00023705766339615414,0.08670154359392324
Astrocyte,LINC01470,498,0.01953908992248063,0.019024183663628007,0.447,0.023306448861780626,0.15,17,451,1720,17,-0.03162379038481335,0.024854319258890038,0.07006151790487365
L2/3 IT,LINC01470,498,0.03748786261721587,0.03722114305874724,0.268,0.029872431732392086,0.404,26,12818,14197,26,-0.012484484456509006,0.029459131216214615,0.06686169555654843
L4 IT,LINC01470,498,0.023800723949137865,0.022571992880070682,0.171,0.019960932911435126,0.332,24,4669,5974,24,-0.01855191413615797,0.023673252218949427,0.03510238129768517
Oligodendrocyte,LINC01470,498,0.021794327807105218,0.021540555154362904,0.223,0.012933107377523262,0.087,16,2239,2240,16,-0.0063474857949220925,0.01121935279466095,0.034692127847933255
Astrocyte,MS4A6A,464,0.0211410241948063,0.0187177080204933,0.43,0.00834326456394844,0.747,9,25,1720,17,-0.03875968992248129,-0.011494252873566322,0.06272428138814957
L2/3 IT,MS4A6A,464,0.04161013534793183,0.037737711495064656,0.107,0.0329527612392925,0.336,25,801,14197,26,-0.032269159468503936,0.03215667144884641,0.08436252559435511
L4 IT,MS4A6A,464,0.02801754812343795,0.022632166292053807,0.16,0.036268100010283924,0.007,23,224,5974,24,-0.01956765699989136,0.021010899295298546,0.15740740740740128
Oligodendrocyte,MS4A6A,464,0.06406336033464477,0.014729496362752106,0.054,0.05842134272865848,0.089,4,5,2240,16,-0.012345679012345004,0.04295730080046521,0.1601164483260485
Astrocyte,PTPRC,496,0.014343183271460143,0.016863653999590847,0.596,0.016122120900997256,0.576,16,64,1720,17,-0.03270589794730918,0.0037375212441410023,0.14286985581842768
L2/3 IT,PTPRC,496,0.044140213822380446,0.03628230274714691,0.001,0.03517502039869399,0.046,26,2514,14197,26,-0.04297024490336652,0.03654040892151221,0.07470222536258675
L4 IT,PTPRC,496,0.021936608858274326,0.022090110449161364,0.514,0.0185147503276054,0.577,24,1783,5974,24,-0.028019153151450517,0.021401746014357362,0.05040524467515043
Oligodendrocyte,PTPRC,496,0.03359665510473021,0.023295798252711233,0.106,0.005811462988608571,0.795,15,148,2240,16,-0.03800960015327744,-0.006421006030629274,0.06931131748090275
Astrocyte,SNTB1,499,0.021745717005567374,0.021742440503166777,0.506,0.017416555010133658,0.37,17,1705,1720,17,-0.007028869724506922,0.015357363958334458,0.03625111918249508
L2/3 IT,SNTB1,499,0.04141683990087917,0.03645421011735313,0.003,0.03138637000593221,0.236,26,6328,14197,26,-0.07989294358133386,0.038155477124025686,0.07894327927695884
L4 IT,SNTB1,499,0.021024510575235245,0.022446040075901303,0.705,0.015702634120531814,0.906,24,2555,5974,24,-0.07903039792879069,0.02281790507289039,0.04629977185112546
Oligodendrocyte,SNTB1,499,0.02629372530355365,0.02232883564223552,0.242,0.014280911015950058,0.382,16,504,2240,16,-0.04359283234287261,0.017544601128636726,0.0537773193441916
