subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC004704.1,490,0.020935792640854354,0.01875057278086954,0.392,0.01937686584189589,0.371,17,61,1720,17,-0.04822947437725682,0.007536143296818814,0.14057971014492776
L2/3 IT,AC004704.1,490,0.04415263957446947,0.03729202187231648,0.002,0.03359034122183865,0.078,26,3729,14197,26,-0.022994260250857594,0.03540297025767401,0.07626438475678843
L4 IT,AC004704.1,490,0.026235655120008493,0.02290865100106017,0.051,0.021159383029559147,0.235,24,3566,5974,24,-0.030868546698263322,0.02323602431219511,0.05107735788388753
Oligodendrocyte,AC004704.1,490,0.012040049082038234,0.013348380412853808,0.536,0.00863819168570858,0.592,13,57,2240,16,-0.04618260292301613,-0.0012992138858873327,0.08070943423261155
Astrocyte,AC080079.2,499,0.022240634385403565,0.021704311162457166,0.075,0.017963097334110466,0.085,17,1720,1720,17,-0.005260840019501255,0.01598510099698004,0.03593650324820307
L2/3 IT,AC080079.2,499,0.03851327084698004,0.03719077830590148,0.001,0.030779662376317504,0.001,26,14197,14197,26,-0.014846722672395523,0.030917098035505013,0.06728954222066895
L4 IT,AC080079.2,499,0.02340194142345174,0.02265142434158516,0.001,0.019985247485881152,0.001,24,5974,5974,24,-0.016324047913956446,0.021293945426165042,0.03573588140504999
Oligodendrocyte,AC080079.2,499,0.021334236409488585,0.021499969955156545,0.715,0.012394347743329082,0.417,16,2240,2240,16,-0.006490738216077864,0.009807628870811744,0.03515112803540581
Astrocyte,ADGRL4,498,0.019963979860352473,0.02079673045800538,0.552,0.01591521866099019,0.56,16,207,1720,17,-0.03703705316636215,0.005873460918259257,0.09724605088195373
L2/3 IT,ADGRL4,498,0.043744387282469155,0.03716414942205135,0.001,0.03477950964063293,0.017,26,7445,14197,26,-0.01563437536445461,0.0330971831095241,0.08588967998351527
L4 IT,ADGRL4,498,0.023606570003153648,0.022781496645715063,0.188,0.019759231787951755,0.321,24,5037,5974,24,-0.022437439502731287,0.02173579481959679,0.03591137753738647
Oligodendrocyte,ADGRL4,498,0.01789085644197719,0.019113130846307683,0.563,0.003977609219370308,0.879,16,231,2240,16,-0.04761312149563038,-0.0008201327125908309,0.07837994472422605
Astrocyte,APBB1IP,499,0.022367353656899305,0.021668972114815225,0.021,0.01759253489365222,0.227,17,1720,1720,17,-0.011225298638708262,0.017091625256294218,0.03478323956738004
L2/3 IT,APBB1IP,499,0.038135614347351604,0.03718597806992501,0.001,0.030389181590211083,0.001,26,14197,14197,26,-0.012675397443939676,0.030501527531027316,0.0670843826471629
L4 IT,APBB1IP,499,0.02310317181837817,0.02265521852927476,0.003,0.019556218737256516,0.094,24,5974,5974,24,-0.016549752737649994,0.021401568608690164,0.03544683706538639
Oligodendrocyte,APBB1IP,499,0.0214533726323323,0.021514979742773183,0.597,0.012116881025010132,0.741,16,2240,2240,16,-0.006924195640429146,0.010718996430737895,0.03397834052173386
Astrocyte,DACH1,498,0.024195849095158223,0.02203374988737042,0.124,0.0178207456693063,0.416,17,1439,1720,17,-0.02220451896525837,0.02133462623701957,0.043711171346491925
L2/3 IT,DACH1,498,0.03982172884650861,0.03716781520262064,0.001,0.0316213968965234,0.009,26,12942,14197,26,-0.010315433655943661,0.033229716649631105,0.07138194795731162
L4 IT,DACH1,498,0.0251332968801334,0.02263641882603789,0.046,0.019347619522980513,0.494,24,4195,5974,24,-0.045931720331513146,0.021532435054699928,0.05174333827776477
Oligodendrocyte,DACH1,498,0.02029888919069228,0.02054237812704767,0.511,0.007619055391261541,0.74,16,520,2240,16,-0.032454046931276646,0.009273462604688134,0.045655831507013606
Astrocyte,HS3ST2,498,0.024921244034974085,0.019664066604658744,0.17,0.018744089469351098,0.38,17,486,1720,17,-0.022683958335068092,0.020492569427117382,0.0678350789947289
L2/3 IT,HS3ST2,498,0.0441150588114458,0.03729172742276503,0.001,0.036617748217443256,0.001,26,12304,14197,26,-0.006348063645889334,0.03861725379176749,0.06672718949954738
L4 IT,HS3ST2,498,0.023304751637056222,0.022682606419649344,0.001,0.019898976012569878,0.002,24,5963,5974,24,-0.014720122040382309,0.021583011034088134,0.034697810946516694
Oligodendrocyte,HS3ST2,498,0.023962646126688976,0.019487656294962942,0.231,0.009072416178454383,0.674,16,451,2240,16,-0.04429520149152013,0.01262382892808123,0.06522737329833365
Astrocyte,LINC01374,498,0.03946912407478999,0.02194879947493927,0.003,0.029875798563884233,0.057,17,283,1720,17,-0.02874640700695938,0.02566531914680736,0.10092936943541533
L2/3 IT,LINC01374,498,0.04015910115219162,0.037251694218233294,0.001,0.03312752198013223,0.007,26,11959,14197,26,-0.004649041365608412,0.035260263187765525,0.0714506134134526
L4 IT,LINC01374,498,0.023887817917767555,0.022899589303212054,0.323,0.02089250828753242,0.278,24,3465,5974,24,-0.009492408939989079,0.022044981374208475,0.037503858666973
Oligodendrocyte,LINC01374,498,0.025828883598217244,0.018976588070848285,0.167,0.026649124158903102,0.093,15,149,2240,16,-0.016129032258064505,0.020193859892817478,0.0898773575352184
Astrocyte,MOBP,499,0.02301776148839925,0.021666759962032666,0.001,0.017918160151890555,0.102,17,1720,1720,17,-0.009728475368240171,0.015830015969814763,0.036131319209850105
L2/3 IT,MOBP,499,0.0392422104284495,0.037189944609654794,0.001,0.03128332643211819,0.001,26,14197,14197,26,-0.009598671695011423,0.030898947358666738,0.06908679776016761
L4 IT,MOBP,499,0.02363551257580155,0.022647288591276817,0.001,0.020116962586312043,0.001,24,5974,5974,24,-0.018419591010474252,0.02150838069538158,0.035517328737340294
Oligodendrocyte,MOBP,499,0.021252509285975423,0.021478439021413463,0.77,0.01215979865923233,0.661,16,2240,2240,16,-0.007641318297919375,0.009398384387147428,0.03561691337920853
Astrocyte,PREX2,497,0.0223308530335202,0.021690498504003206,0.05,0.017809965898756958,0.139,17,1720,1720,17,-0.006181669552595905,0.016723949054730347,0.03729327980564977
L2/3 IT,PREX2,497,0.04063600067879492,0.03667407591404163,0.003,0.03394387226031476,0.064,26,6650,14197,26,-0.026467029434886307,0.03733767044087266,0.07248760567153431
L4 IT,PREX2,497,0.02303178017751348,0.022307681479834723,0.37,0.018356920887266488,0.617,24,2478,5974,24,-0.049985488749779684,0.021422013732075473,0.052950017199065655
Oligodendrocyte,PREX2,497,0.02155594072167633,0.021514749242561394,0.478,0.012506091673689273,0.339,16,2231,2240,16,-0.007521803105009011,0.010015064392288164,0.03487174833161123
Astrocyte,SLCO1C1,499,0.022696337302816963,0.021692766107155145,0.004,0.018484933897634302,0.011,17,1720,1720,17,-0.005121991630792261,0.01777296863395255,0.036847392281825014
L2/3 IT,SLCO1C1,499,0.038521230273242904,0.03720790474317654,0.001,0.030726553191283184,0.001,26,14197,14197,26,-0.012101808814422407,0.030884596985164027,0.06747020259470744
L4 IT,SLCO1C1,499,0.02318086136391685,0.022665419923853382,0.001,0.01971730866238373,0.024,24,5974,5974,24,-0.015713640353570736,0.020996074740407458,0.035050123342126316
Oligodendrocyte,SLCO1C1,499,0.021052857684886135,0.021513928324537055,0.92,0.011718211875857632,0.93,16,2240,2240,16,-0.00915981156389116,0.009711635129442047,0.03462740564027598
