subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC060765.1,499,0.012712195748159133,0.02219947628207794,0.856,0.009240188056205256,0.85,15,102,1720,17,-0.029296014723489958,-0.0011610629457218203,0.08982473439948935
L2/3 IT,AC060765.1,499,0.038387889545717174,0.03712770049664566,0.001,0.030701185877787494,0.001,26,13839,14197,26,-0.01359027506668009,0.031158612196928875,0.06708746288042913
L4 IT,AC060765.1,499,0.02503192886511048,0.02263296430037411,0.002,0.020297702201108585,0.138,24,5272,5974,24,-0.03422813698929722,0.02202449393354384,0.03588886929753188
Oligodendrocyte,AC060765.1,499,0.01301190331517248,0.02089298838735573,0.903,0.001169932639530873,0.957,16,303,2240,16,-0.038038383949370994,0.004550339883675733,0.04549842623604179
Astrocyte,AC124254.2,499,0.022056274151655227,0.0217193340382526,0.169,0.017339333215698888,0.486,17,1720,1720,17,-0.006559158528119574,0.01542855675826088,0.035593239047819546
L2/3 IT,AC124254.2,499,0.03844600143381537,0.037180629338994034,0.001,0.030846557638682288,0.001,26,14197,14197,26,-0.01137886055563399,0.031217816621892762,0.06745025296673528
L4 IT,AC124254.2,499,0.023133457561282874,0.022660947899848256,0.001,0.019669072756394745,0.041,24,5974,5974,24,-0.017258589315796737,0.020667967628321574,0.03557418290085853
Oligodendrocyte,AC124254.2,499,0.02180339754027512,0.021479165599423544,0.155,0.012529241166917846,0.283,16,2240,2240,16,-0.006314870243278928,0.00946410251288416,0.03615094426801059
Astrocyte,AL445426.1,499,0.022204228218498327,0.021729314216448848,0.091,0.01749169245113589,0.347,17,1720,1720,17,-0.007736631169962084,0.015803983354135378,0.03873193809095535
L2/3 IT,AL445426.1,499,0.038404503454993515,0.037185572613121845,0.001,0.030611325872983226,0.001,26,14197,14197,26,-0.015140185496854842,0.031061439465582184,0.06711332639570718
L4 IT,AL445426.1,499,0.023222584074842963,0.022651680350082824,0.001,0.01977596148569154,0.005,24,5974,5974,24,-0.018182188177662914,0.021252082292037226,0.03504482400114287
Oligodendrocyte,AL445426.1,499,0.020926348928383996,0.021502007239958026,0.967,0.01162658065172183,0.977,16,2240,2240,16,-0.009609163071688503,0.008272423044348649,0.03425593941387175
Astrocyte,CHST9,499,0.0216327677372894,0.021801875575849998,0.638,0.01736322568159445,0.423,17,1697,1720,17,-0.004865402499789782,0.01675233972008014,0.0347018776304003
L2/3 IT,CHST9,499,0.037900843074003925,0.03719168691181201,0.001,0.030117348706873222,0.033,26,14043,14197,26,-0.014851270511001546,0.031019170745366524,0.0665103739003377
L4 IT,CHST9,499,0.022684807902926023,0.02267094430363925,0.467,0.019207430637214327,0.739,24,5848,5974,24,-0.018533298179728618,0.02103911895079364,0.034572554352936
Oligodendrocyte,CHST9,499,0.008009266638751976,0.021588487265970676,0.994,0.0019478221256746288,0.946,16,462,2240,16,-0.06501250991793582,-0.002607527703517216,0.108791744347569
Astrocyte,GFAP,499,0.02269583296437421,0.021686101013074006,0.01,0.018213848515020385,0.063,17,1720,1720,17,-0.005821981363115189,0.016411003497571994,0.03703665815434451
L2/3 IT,GFAP,499,0.039652116380659325,0.03721885087842932,0.001,0.031673679502524504,0.001,26,14197,14197,26,-0.01238110491745249,0.031912887762210726,0.06915953604371203
L4 IT,GFAP,499,0.023556877949066416,0.022667529296733116,0.001,0.020090918251024936,0.001,24,5974,5974,24,-0.01869592224852681,0.021877106810710683,0.0359911109013189
Oligodendrocyte,GFAP,499,0.021790405654888243,0.021515674374168115,0.204,0.01252622881823552,0.316,16,2240,2240,16,-0.007541071977742895,0.009835065998053802,0.03552064467225805
Astrocyte,LINC00871,497,0.02469350160328162,0.02131852759534709,0.272,0.017493866787382933,0.47,17,550,1720,17,-0.03896576145892051,0.013943386703260115,0.11467081836841372
L2/3 IT,LINC00871,497,0.04039697416234215,0.03731969129052355,0.001,0.03210058070623917,0.045,26,10408,14197,26,-0.02045301634976677,0.03398082098349188,0.06904404743670954
