subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC022126.1,499,0.022045169195779066,0.021690714281725688,0.134,0.01754257112320359,0.303,17,1720,1720,17,-0.00832332398299495,0.016816868598274075,0.03657444417574984
L2/3 IT,AC022126.1,499,0.03862273961124831,0.03718978046974235,0.001,0.03072532267337924,0.001,26,14197,14197,26,-0.01115971026867354,0.030338505668465555,0.06785111744444128
L4 IT,AC022126.1,499,0.023271012588773718,0.02264657025931195,0.001,0.019744578914654545,0.012,24,5974,5974,24,-0.018118089516005024,0.02064831756602603,0.034627181584554086
Oligodendrocyte,AC022126.1,499,0.021196290949585448,0.021501371231153366,0.847,0.012569743710785761,0.257,16,2240,2240,16,-0.006779243510074839,0.009354747680717805,0.03458459946637359
Astrocyte,AC112493.1,499,0.022374891352499305,0.021692444151800185,0.025,0.017870357306392,0.095,17,1720,1720,17,-0.011818511039600414,0.017585680964073095,0.03673658860454034
L2/3 IT,AC112493.1,499,0.03845744585084441,0.03719190098692746,0.001,0.030865758532874897,0.001,26,14197,14197,26,-0.009506042499776012,0.030602010824268142,0.06780252258508614
L4 IT,AC112493.1,499,0.02313450821546035,0.022640973830341124,0.002,0.01969464906656797,0.015,24,5974,5974,24,-0.017197302210802214,0.0205196317611801,0.03429477210586147
Oligodendrocyte,AC112493.1,499,0.021387092064945726,0.021481952647850893,0.605,0.012217208556764919,0.638,16,2240,2240,16,-0.012977692816113497,0.007822109525540022,0.03469897455658132
Astrocyte,AL390800.1,493,0.033790028182820016,0.014870051326633599,0.058,0.021601024524259937,0.303,16,43,1720,17,-0.019948235747485124,0.015109693008197261,0.0758398515276767
L2/3 IT,AL390800.1,493,0.041943303861761996,0.03826135143538505,0.034,0.030271251902931808,0.425,26,4067,14197,26,-0.03842117553622624,0.03323346223355193,0.0790108978556889
L4 IT,AL390800.1,493,0.023930370855433127,0.021875208938370142,0.258,0.01873429805176458,0.558,24,1388,5974,24,-0.07188878781214558,0.022033610119239818,0.05531166561179268
Oligodendrocyte,AL390800.1,493,0.027457090694468844,0.02195955703971964,0.293,0.025927460347630975,0.128,15,46,2240,16,-0.04166666666666617,-0.01117444149394399,0.16111111111110857
Astrocyte,CD44,496,0.023386423603843624,0.021826228338675317,0.038,0.01872682653783633,0.092,17,1639,1720,17,-0.008346259944685712,0.018239417734234598,0.037120767600189314
L2/3 IT,CD44,496,0.038300808973040605,0.03596268647899091,0.133,0.031055747416620358,0.343,26,3191,14197,26,-0.01185736228121475,0.028933235663476338,0.0743712336720803
L4 IT,CD44,496,0.018843194162636946,0.022456590621135756,0.875,0.016782589094908547,0.731,24,1303,5974,24,-0.02189173767709193,0.013272846732572377,0.050204758907612196
Oligodendrocyte,CD44,496,0.019549829771514083,0.01858492222407819,0.409,0.016098382650490725,0.3,16,177,2240,16,-0.057506784685803114,0.015924455118022592,0.12049928358788176
Astrocyte,FLI1,499,0.022436504574338687,0.021696289585105517,0.028,0.01804599913164627,0.081,17,1720,1720,17,-0.004955836476079688,0.01783045487816344,0.03834259479143898
