subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC010086.3,393,,,,,,0,0,1720,17,,,
L2/3 IT,AC010086.3,393,0.040429986060099614,0.03570201161333448,0.17,0.031207976245671884,0.422,25,246,14197,26,-0.027777777777777096,0.03460624786636299,0.09460829093267407
L4 IT,AC010086.3,393,0.03199254928467095,0.018489957881531613,0.071,0.027111777818850453,0.303,19,62,5974,24,-0.01810937500650794,-0.0012345679012368065,0.16534391534393494
Oligodendrocyte,AC010086.3,393,-0.0032051282051345996,0.022426272426266054,0.899,-0.0032051282051345996,0.899,1,1,2240,16,-0.0032051282051345996,-0.0032051282051345996,-0.0032051282051345996
Astrocyte,AC093912.1,499,0.022060916534598192,0.02171470952378008,0.156,0.017488380963665198,0.338,17,1720,1720,17,-0.00811812700197119,0.017106843788506267,0.03558191365762377
L2/3 IT,AC093912.1,499,0.038386641699482055,0.03719166442017799,0.001,0.030714506763461245,0.001,26,14197,14197,26,-0.011162787158914054,0.03063500963293831,0.0676504781145514
L4 IT,AC093912.1,499,0.02315339908223252,0.022655761555960788,0.001,0.01983953950217533,0.002,24,5974,5974,24,-0.014746909858229287,0.02072522892110733,0.03465172579248987
Oligodendrocyte,AC093912.1,499,0.021733947701857957,0.02149685826353104,0.195,0.012435541896896371,0.384,16,2240,2240,16,-0.011426794112073908,0.011187422788667837,0.034593511639699585
Astrocyte,AL138694.1,499,0.02166671867735471,0.024240102474607915,0.608,0.023042985053690644,0.424,14,117,1720,17,-0.026372450855142643,0.019365448182775524,0.06467165952899193
L2/3 IT,AL138694.1,499,0.03880818642763517,0.03716586860763712,0.001,0.030924949258157163,0.019,26,13010,14197,26,-0.01751022087621138,0.029707494912997127,0.06636017966142843
L4 IT,AL138694.1,499,0.03141332586166605,0.022489678604300095,0.004,0.03079947586711816,0.003,24,1700,5974,24,-0.0013838095779201707,0.02393658773735082,0.09004590482061796
Oligodendrocyte,AL138694.1,499,0.021392196423778684,0.024492737471462453,0.631,0.018121798803111197,0.285,13,68,2240,16,-0.02589257647224915,0.01438048523577157,0.15555555555555753
Astrocyte,BX284613.2,498,0.026228041072951225,0.0218254450879991,0.13,0.018087306668417156,0.43,17,960,1720,17,-0.029448960654066606,0.020774616231039683,0.05674095338469279
L2/3 IT,BX284613.2,498,0.041383115734499785,0.03735164342977295,0.004,0.03548448914121053,0.011,26,7692,14197,26,-0.018207700399758345,0.035238193924665095,0.0776715666626398
L4 IT,BX284613.2,498,0.0217083884854322,0.022167901387022418,0.578,0.021264161843498972,0.226,24,2946,5974,24,-0.03865414520083909,0.02313817063235777,0.06736604376857361
Oligodendrocyte,BX284613.2,498,0.009541803546442615,0.02000082845745246,0.946,0.003837339854143345,0.89,16,228,2240,16,-0.05076288322712125,0.0056678552750586515,0.07910758889914685
