subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC008571.2,498,0.02139084251169419,0.021174447163757663,0.482,0.01795376022866122,0.562,16,308,1720,17,-0.029722878144904995,0.012352100415494931,0.07525873340015624
L2/3 IT,AC008571.2,498,0.04902387088969544,0.03732358013585741,0.001,0.03913118933420204,0.001,26,11069,14197,26,-0.01344698017314388,0.04299856920683266,0.07546633732765773
L4 IT,AC008571.2,498,0.022960788002747194,0.022497251285722095,0.329,0.019549504869239235,0.412,24,4861,5974,24,-0.026926084441961318,0.020634773797369603,0.03675253763465951
Oligodendrocyte,AC008571.2,498,0.021101914143516146,0.021531221839858325,0.891,0.011916516097271297,0.839,16,2240,2240,16,-0.009238283552385535,0.009365456458496887,0.03433778482874394
Astrocyte,AC093765.2,492,0.031592928768900755,0.021143394784603274,0.089,0.034429609605070154,0.036,17,111,1720,17,-0.030303030303029645,0.0286377871510972,0.1425484170436584
L2/3 IT,AC093765.2,492,0.03719741499489211,0.03704480892405657,0.475,0.02833353233568448,0.691,26,4756,14197,26,-0.04956355748777867,0.027351159983550685,0.0742903538232501
L4 IT,AC093765.2,492,0.0177560259804584,0.02251183485106809,0.946,0.014849446511320951,0.909,24,1880,5974,24,-0.016250059953510657,0.011943931856380274,0.044619991295746335
Oligodendrocyte,AC093765.2,492,0.019897336582647744,0.02053371146523815,0.525,0.014794421069201404,0.368,16,215,2240,16,-0.02495534605217474,0.014772667494147625,0.06653447977204416
Astrocyte,AL136456.1,499,0.02694809154481258,0.02167130618381674,0.094,0.021296591129423805,0.193,17,964,1720,17,-0.01629935980577582,0.014402463927945376,0.07040954229768659
L2/3 IT,AL136456.1,499,0.0431918012731432,0.037253151359387594,0.001,0.03471834207355503,0.002,26,11595,14197,26,-0.014881355324023857,0.03810701699548971,0.06936035592705113
L4 IT,AL136456.1,499,0.022225393653497454,0.0226222670648315,0.721,0.018706697798939218,0.806,24,5388,5974,24,-0.012745304568099167,0.01996478810976655,0.03345189032093061
Oligodendrocyte,AL136456.1,499,0.01825694987307695,0.0207493676358703,0.675,0.009286328993206675,0.694,16,647,2240,16,-0.045501139515269545,0.01776330933099401,0.050847514935672126
Astrocyte,BNC2,499,0.02212957128706514,0.021671813026419788,0.123,0.01774764537485861,0.182,17,1720,1720,17,-0.00975553944614335,0.01778569504739089,0.03772802729509716
L2/3 IT,BNC2,499,0.038810359604881044,0.037175369108538546,0.001,0.030912431099067935,0.001,26,14197,14197,26,-0.012628400299329084,0.03130576953326702,0.0682145078734666
L4 IT,BNC2,499,0.023446961742148005,0.022663887782527807,0.001,0.02005247760404315,0.001,24,5974,5974,24,-0.015193519450820352,0.021054283765986437,0.03521611179716534
Oligodendrocyte,BNC2,499,0.021605102149139525,0.021498764507167974,0.377,0.012682968115309022,0.171,16,2240,2240,16,-0.007477385107000407,0.010368457339188997,0.03442087323914999
Astrocyte,ERBB4,499,0.022491052108233836,0.021704348638058098,0.022,0.01804475914242569,0.083,17,1720,1720,17,-0.003550278508980576,0.01705196520132358,0.035114317807779225
L2/3 IT,ERBB4,499,0.03842351580622791,0.037181726470743,0.001,0.030885576596039684,0.001,26,14197,14197,26,-0.009259124839222834,0.030924268670326556,0.06769251896821041
L4 IT,ERBB4,499,0.0232440865237045,0.02265399692732952,0.001,0.01977581433634211,0.008,24,5974,5974,24,-0.018216112475980602,0.0211955498111727,0.03609921687279767
Oligodendrocyte,ERBB4,499,0.021654964824797274,0.021526021590886596,0.325,0.01283180872500782,0.087,16,2240,2240,16,-0.007031006254877073,0.010004273037517684,0.034636832813629885
Astrocyte,IL7R,485,-0.0016621110958916446,0.017654690818399398,0.94,0.016204902349572312,0.596,10,16,1720,17,-0.03584318259049882,-0.010874704491723473,0.15591397849461944
L2/3 IT,IL7R,485,0.0422673895347161,0.035326393284339536,0.003,0.035304357091389654,0.069,26,1919,14197,26,-0.08074799550125622,0.034560506532962845,0.09861948991014617
L4 IT,IL7R,485,0.030623790536044568,0.021297414565569234,0.018,0.02741484722651372,0.038,24,531,5974,24,-0.03488372093023323,0.029087597425137314,0.07274020046712666
Oligodendrocyte,IL7R,485,0.027004038936724248,0.016079583617936353,0.195,0.011846644749291804,0.484,12,28,2240,16,-0.030303030303029648,-0.0056342389677392635,0.08709484739106474
Astrocyte,LINC01931,498,0.0206092343816417,0.021137620927528192,0.548,0.01388497321360372,0.726,17,884,1720,17,-0.03473014579642586,0.02327020127987123,0.04826358507829922
L2/3 IT,LINC01931,498,0.04300027744468672,0.03735827199159172,0.001,0.03262130436106574,0.021,26,10634,14197,26,-0.032975155979198104,0.03634631728938188,0.07827043901654052
L4 IT,LINC01931,498,0.02119581909006841,0.02265887767138838,0.775,0.019092495386721,0.524,24,3662,5974,24,0.0001910290751115098,0.022142181363068194,0.03580433252783056
Oligodendrocyte,LINC01931,498,0.02234935959074937,0.02145127774866576,0.416,0.010145888180904103,0.662,16,1001,2240,16,-0.042533505445376214,0.012845605714874062,0.06725266984167233
Astrocyte,NEAT1,498,0.022170846613160287,0.021734951500555683,0.106,0.017409157520369346,0.417,17,1720,1720,17,-0.007224265953501022,0.017115632689624707,0.03739507118035982
L2/3 IT,NEAT1,498,0.03825355736452649,0.03720192748232316,0.001,0.03088418418763358,0.006,26,13806,14197,26,-0.004228814960254737,0.030320091327737914,0.06643504320961646
L4 IT,NEAT1,498,0.02276724789256884,0.02267227454015745,0.256,0.01928196012786394,0.639,24,5974,5974,24,-0.01863426683776515,0.020737849058993105,0.0344540821535855
Oligodendrocyte,NEAT1,498,0.021255083382556116,0.021495201868455202,0.772,0.01217985828321382,0.648,16,2240,2240,16,-0.006557093655458598,0.010958343403748023,0.03459235138376492
Astrocyte,RERGL,498,0.04232316895611051,0.02384462395966135,0.004,0.021551600857663125,0.282,17,385,1720,17,-0.03778093803394286,0.031967322971045695,0.08385189351516366
L2/3 IT,RERGL,498,0.05093314485602938,0.0373434408736401,0.001,0.0404671445828047,0.001,26,9720,14197,26,-0.00976542740229375,0.04010712410930269,0.09172378436265273
L4 IT,RERGL,498,0.0190438894423006,0.02176665693755254,0.815,0.018020719256048968,0.643,24,1799,5974,24,-0.012902133768994678,0.015844631305622442,0.05786284054419984
Oligodendrocyte,RERGL,498,0.01777555881971529,0.02158760770676209,0.676,0.004293412301484172,0.855,15,128,2240,16,-0.06089556772697427,-0.0005273126569131998,0.06003130204276952
Astrocyte,SST,455,0.05378550079468894,0.02576328107161877,0.01,0.025986071463084577,0.27,10,52,1720,17,-0.02660839348012832,-0.015476190476190895,0.15111111111111364
L2/3 IT,SST,455,0.03452253943340716,0.03133885601139057,0.185,0.02952470119932085,0.49,26,778,14197,26,-0.04224180730551894,0.03021136948325107,0.06607143161238367
L4 IT,SST,455,0.013326988793457156,0.01817989532146663,0.759,0.013116352285048882,0.804,23,233,5974,24,-0.04073406140527238,0.004421003159159162,0.0735552179468231
Oligodendrocyte,SST,455,0.03848281518725183,0.01982519468434129,0.051,0.034190494155523506,0.069,13,48,2240,16,-0.05395988685597309,0.03242348152008148,0.15544871794871254
