subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC073091.3,499,0.022615000843308964,0.021364351375048295,0.38,0.020335590873427414,0.256,17,855,1720,17,-0.016186505750785323,0.020561325888443647,0.06045507481823923
L2/3 IT,AC073091.3,499,0.03846998799144744,0.03718453850293492,0.001,0.030826780534866594,0.001,26,14183,14197,26,-0.010735847533319822,0.031294262284902896,0.06773465067955432
L4 IT,AC073091.3,499,0.023627105475791912,0.022652237161098335,0.001,0.020138188081079703,0.001,24,5974,5974,24,-0.013716098500381819,0.022071263883908586,0.0357178991049828
Oligodendrocyte,AC073091.3,499,0.023407054320580184,0.020835076433159565,0.242,0.020103558658019407,0.066,16,1002,2240,16,-0.02851432342443744,0.012889317922517303,0.14327137244768037
Astrocyte,ACSBG1,496,0.022062761988080687,0.021726845365278448,0.188,0.017552197772853995,0.279,17,1720,1720,17,-0.010719301995441199,0.016529647524182785,0.03568534225981736
L2/3 IT,ACSBG1,496,0.042615576425333715,0.03734883259143695,0.001,0.03071154254880561,0.316,26,7243,14197,26,-0.042593032531972365,0.03547601382520151,0.07201600646179566
L4 IT,ACSBG1,496,0.017465103363236794,0.022372026871204428,0.98,0.015182554781934324,0.942,24,2918,5974,24,-0.014279687358326893,0.014091225214659487,0.03894103596107361
Oligodendrocyte,ACSBG1,496,0.020422501600690972,0.021211435450214686,0.579,0.016743759979805338,0.173,16,1145,2240,16,-0.01692885639302233,0.01424413182991616,0.08420241956603873
Astrocyte,ALDH1L1,499,0.022259657035597086,0.021706871388681038,0.066,0.01724122599505611,0.536,17,1720,1720,17,-0.010356626163870343,0.018227182745963223,0.03693636530506331
L2/3 IT,ALDH1L1,499,0.039241125919607954,0.037192059130395666,0.001,0.03145951034042823,0.001,26,14197,14197,26,-0.010194137938198747,0.03167640900811518,0.06837128507232634
L4 IT,ALDH1L1,499,0.023364969862807443,0.02265417284222475,0.001,0.019726796224838156,0.017,24,5974,5974,24,-0.018960357719914073,0.020775445390452466,0.03460108161621509
Oligodendrocyte,ALDH1L1,499,0.02134490943248612,0.02150645874482178,0.699,0.012187919037042963,0.64,16,2240,2240,16,-0.007719725588397374,0.009217128264343323,0.034297159990468985
Astrocyte,COL5A2,499,0.022024909865739756,0.022220425654893183,0.553,0.014505624149384642,0.819,17,1580,1720,17,-0.029115239510562052,0.013331232062911185,0.037728670315497606
L2/3 IT,COL5A2,499,0.044007935611839466,0.03722667081793722,0.001,0.03403760298306033,0.001,26,12511,14197,26,-0.02979061909059351,0.03506601111146153,0.07321625539925364
L4 IT,COL5A2,499,0.02350204593054731,0.022671565063684597,0.001,0.019963261320828016,0.002,24,5857,5974,24,-0.01733633662517142,0.022496362369604603,0.03561575687352171
Oligodendrocyte,COL5A2,499,0.017758997769760622,0.021675321067048826,0.841,0.007535326693040105,0.814,16,1091,2240,16,-0.03867405655695195,0.009939741005041806,0.05371044559429739
Astrocyte,GPR149,494,0.005149997797259394,0.01997983603115346,0.953,0.0010200407739214563,0.985,17,105,1720,17,-0.06400751430527542,-0.007600077586887941,0.0940764267652558
L2/3 IT,GPR149,494,0.04062620732185174,0.03699506908925205,0.051,0.031889425859999904,0.263,26,2591,14197,26,-0.005623611365958323,0.02890970319388849,0.08062094217438401
L4 IT,GPR149,494,0.031188352109913706,0.022186125537298932,0.005,0.026409157030695338,0.037,24,1280,5974,24,-0.02641332611430671,0.027367809341335043,0.06457619168789282
Oligodendrocyte,GPR149,494,0.030987330640539195,0.02045778811654936,0.12,0.01975351851102849,0.287,15,83,2240,16,-0.04545454545454481,0.02317889138139164,0.11205628694762576
Astrocyte,LINC01099,496,0.026373015169963803,0.020559512416558935,0.169,0.02663766876666807,0.12,17,386,1720,17,-0.01817587403198058,0.0321241768262939,0.06715151719459178
L2/3 IT,LINC01099,496,0.04558207282375706,0.03733763195608305,0.001,0.03608240155759412,0.017,26,4601,14197,26,-0.022792200016324198,0.03846925269987393,0.08043759389102316
L4 IT,LINC01099,496,0.018313240049773537,0.02204223831414844,0.887,0.014739261830128594,0.92,24,1714,5974,24,-0.03737107681713109,0.013610794845251888,0.05037069694838712
Oligodendrocyte,LINC01099,496,0.021591542560974102,0.02148134547974016,0.4,0.012255780383630451,0.515,16,2168,2240,16,-0.009461304039703702,0.008967601654474883,0.035385834193539994
Astrocyte,MECOM,498,0.022495603313102897,0.02165823566834865,0.069,0.018120610445927103,0.126,17,1720,1720,17,-0.006901278094505564,0.018104700996327883,0.03831197455989694
L2/3 IT,MECOM,498,0.03822218587840353,0.037201639259671515,0.001,0.030646283836501146,0.001,26,14197,14197,26,-0.013088401763555713,0.03113089354730971,0.06705693473565934
L4 IT,MECOM,498,0.022961464774671276,0.022634993474586026,0.072,0.01966138106245051,0.107,24,5974,5974,24,-0.012443284075455188,0.020365708298435314,0.03500458343480641
Oligodendrocyte,MECOM,498,0.020799114393031306,0.021479800266511483,0.908,0.011445166899961444,0.91,16,2240,2240,16,-0.008892116894650233,0.008649300781718198,0.03435507234540019
Astrocyte,PLCE1,496,0.022007467243759002,0.021745717226536305,0.228,0.01717560966985155,0.611,17,1720,1720,17,-0.010238596125037703,0.015056559988445076,0.03657134606990293
L2/3 IT,PLCE1,496,0.041396523928062326,0.03702107781813717,0.001,0.03133922210566649,0.138,26,9998,14197,26,-0.01838352985332825,0.03492066243153372,0.0733653777544896
