subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC002069.2,499,0.02208341118727715,0.021765333831068604,0.181,0.017536609297843595,0.286,17,1714,1720,17,-0.004824180187785146,0.016340228831983862,0.03562235428994186
L2/3 IT,AC002069.2,499,0.03833933032998531,0.03716814248526206,0.001,0.03078959433532781,0.001,26,13768,14197,26,-0.012356439479231025,0.03151025762498302,0.06678413190772951
L4 IT,AC002069.2,499,0.023288364477653263,0.022684521127559632,0.116,0.019903884899603843,0.169,24,5573,5974,24,-0.014178366093541308,0.02002088804632675,0.035574226676138326
Oligodendrocyte,AC002069.2,499,0.01408094344489598,0.02061244953276798,0.882,0.006302743152546369,0.78,16,427,2240,16,-0.047582998967998356,0.0063069379179196035,0.0812530309647356
Astrocyte,AC079772.1,499,0.02270537713096318,0.021711388185239194,0.003,0.017932871154029667,0.086,17,1720,1720,17,-0.01193248569361294,0.015248338915074358,0.03830991851648947
L2/3 IT,AC079772.1,499,0.038414970342555914,0.03719093893948808,0.001,0.030740866196742066,0.001,26,14197,14197,26,-0.01142184998421024,0.03075798528563791,0.06723243083835367
L4 IT,AC079772.1,499,0.023298674115011707,0.022661526918673194,0.001,0.019942282680283446,0.001,24,5974,5974,24,-0.014926140295873379,0.02149881314406176,0.03565351745504496
Oligodendrocyte,AC079772.1,499,0.02095793563917396,0.021493425025494756,0.959,0.011851097371845674,0.891,16,2240,2240,16,-0.010296100988113184,0.009262819368002875,0.03421795350008223
Astrocyte,ADAMTSL1,499,0.02208495234085926,0.021708610129747716,0.135,0.017677036305921906,0.198,17,1720,1720,17,-0.009023346117915484,0.016950496957127588,0.03604177020409935
L2/3 IT,ADAMTSL1,499,0.03884526577724357,0.03717668966634805,0.001,0.030964806394341033,0.001,26,14197,14197,26,-0.010621066881486025,0.030913059797508212,0.06790538077897641
L4 IT,ADAMTSL1,499,0.023216204513541824,0.02265146918884108,0.001,0.01977963756597548,0.008,24,5974,5974,24,-0.01714114168575046,0.02049680711301133,0.03547680675306458
Oligodendrocyte,ADAMTSL1,499,0.021883280933424683,0.021494891264928085,0.102,0.01274383036380992,0.15,16,2240,2240,16,-0.0089952561807055,0.011482686128837254,0.03529007705122873
Astrocyte,AP003066.1,499,0.02672205683313608,0.022438676502580013,0.177,0.021373019488371753,0.253,17,747,1720,17,-0.01560684447779626,0.025710912515042313,0.053985984134461935
L2/3 IT,AP003066.1,499,0.04663264721674866,0.036488705076556494,0.001,0.03868963319710295,0.001,26,6366,14197,26,-0.022140399220906402,0.04359256481526356,0.0861250879631558
L4 IT,AP003066.1,499,0.0278720580978448,0.022663546745043027,0.001,0.023343142703067258,0.001,24,5516,5974,24,-0.019493811376753684,0.021729063420746715,0.04760100161247622
Oligodendrocyte,AP003066.1,499,0.013926119538243492,0.017891610913451615,0.742,0.014595774679706689,0.379,16,383,2240,16,-0.024887292849633764,0.01020527086115627,0.06177896348187909
Astrocyte,CXCL14,499,0.022832534415008356,0.021677217065397596,0.003,0.018114155873669543,0.062,17,1720,1720,17,-0.003763777075659386,0.017342856657921766,0.037160753774257434
L2/3 IT,CXCL14,499,0.038410355212184534,0.037189715293526174,0.001,0.030831977781286338,0.001,26,14197,14197,26,-0.011404242386236342,0.030590782589115864,0.06801421648899074
L4 IT,CXCL14,499,0.023085263760011798,0.022651349136476123,0.002,0.01966738894339609,0.023,24,5974,5974,24,-0.01700479754528242,0.021096713874497294,0.034508281550494485
Oligodendrocyte,CXCL14,499,0.021308477241343025,0.021482934224139077,0.699,0.011956230045670133,0.833,16,2240,2240,16,-0.006715057280919042,0.008643958199826178,0.03532839728899065
Astrocyte,HIF3A,495,0.02271127291871749,0.021701628921290284,0.009,0.01822684605067002,0.044,17,1720,1720,17,-0.005873876028466139,0.020423362899643124,0.03778609382420046
L2/3 IT,HIF3A,495,0.03813861349620781,0.03718842443627926,0.001,0.030533850998279315,0.001,26,14197,14197,26,-0.011984151423459594,0.030497878724119184,0.06716755318716208
L4 IT,HIF3A,495,0.02271206664598509,0.02265475941458865,0.421,0.019315796185769278,0.551,24,5974,5974,24,-0.016246403034488596,0.01992799816324335,0.03527876602336844
Oligodendrocyte,HIF3A,495,0.02136437743224937,0.021458738532737758,0.559,0.011692926814074666,0.825,16,2240,2240,16,-0.010278732639154563,0.009251461040537777,0.0343191465257058
Astrocyte,LINC01331,499,0.02198751353409547,0.02172606688841504,0.239,0.01755782385323469,0.3,17,1720,1720,17,-0.007513008365937232,0.016636871661450912,0.03635863626332715
L2/3 IT,LINC01331,499,0.03880161778967098,0.03717435023963214,0.001,0.031154113413618366,0.001,26,14197,14197,26,-0.011083603176884926,0.03166550138496025,0.06771875327624086
L4 IT,LINC01331,499,0.023164753716892222,0.022655404885914297,0.001,0.01968445668231456,0.02,24,5974,5974,24,-0.01595876722483601,0.02085443004592312,0.03557573290112034
Oligodendrocyte,LINC01331,499,0.02148874871665187,0.021477354124602978,0.493,0.012612018150332348,0.245,16,2240,2240,16,-0.006692045930647419,0.009666019873981184,0.03453862160321328
Astrocyte,MIR646HG,499,0.021806744950628412,0.021760814712255487,0.454,0.01725531560186509,0.543,17,1710,1720,17,-0.009191299248586035,0.016198462864991527,0.03738362830784056
L2/3 IT,MIR646HG,499,0.03824869208161169,0.037234645966536604,0.001,0.030612220588088268,0.001,26,14100,14197,26,-0.011426413062781282,0.02993654039997456,0.06878695428202297
L4 IT,MIR646HG,499,0.022902162347317043,0.022665053284154968,0.063,0.019535736982206623,0.13,24,5960,5974,24,-0.014321834304944256,0.020961629419197915,0.03462785387260855
Oligodendrocyte,MIR646HG,499,0.02428454862960608,0.0214565514688951,0.064,0.016369591211833345,0.027,16,1823,2240,16,-0.011786749375523185,0.01903396321203871,0.06005124483254979
Astrocyte,PRDM16,499,0.02237507384669764,0.02169985720320284,0.049,0.017751557804151594,0.188,17,1720,1720,17,-0.00852506911801631,0.017493347053718033,0.0375470385984781
L2/3 IT,PRDM16,499,0.03886299490582736,0.0371972155873532,0.001,0.03112592322687709,0.001,26,14197,14197,26,-0.011830512119266052,0.0315127994569454,0.0681029307781988
L4 IT,PRDM16,499,0.02332472487730381,0.022662010405061776,0.001,0.019869977716026277,0.003,24,5974,5974,24,-0.01692795377454834,0.021052396782894982,0.034117669237498476
Oligodendrocyte,PRDM16,499,0.02158427383667902,0.021509041797981434,0.384,0.012921181224531574,0.08,16,2240,2240,16,-0.008386667814068032,0.010953511257962286,0.03396945522139083
Astrocyte,SLC7A14-AS1,499,0.02282787581949414,0.02166146948455385,0.005,0.01783274625866391,0.147,17,1720,1720,17,-0.01174456029531326,0.01616851207275529,0.03672447206927898
L2/3 IT,SLC7A14-AS1,499,0.03990795422621609,0.03718830840082704,0.001,0.03189239594603175,0.001,26,14197,14197,26,-0.011741124992126194,0.03220342955919175,0.0694408940295048
