subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC011586.2,495,0.02001217236746511,0.02245078585263328,0.595,0.018783291973284832,0.542,15,90,1720,17,-0.03018359954224926,0.02394752541577613,0.06221718350983863
L2/3 IT,AC011586.2,495,0.0392243284883329,0.036347914750477724,0.066,0.03216275534006434,0.192,26,4767,14197,26,-0.03930060724470862,0.034889616818138125,0.07684274693320603
L4 IT,AC011586.2,495,0.022117140353637526,0.021767550431155695,0.46,0.020379401153112292,0.341,24,1805,5974,24,-0.04641811809382206,0.02583206416414551,0.059703328682483355
Oligodendrocyte,AC011586.2,495,0.024378223155254126,0.02171504244695897,0.329,0.014223201350516065,0.399,16,295,2240,16,-0.07506081874551418,0.011747304580900763,0.09779519052247665
Astrocyte,AC097518.2,496,0.025492706638100687,0.02192574892828331,0.008,0.018425588905054094,0.305,17,1562,1720,17,-0.018023087724976093,0.01924339227870435,0.04614142623246693
L2/3 IT,AC097518.2,496,0.03553957248685984,0.03712711578643394,0.829,0.02751768831310316,0.809,26,6205,14197,26,-0.018426636963000332,0.028681322534783272,0.06496831833541873
L4 IT,AC097518.2,496,0.02242822019112001,0.022224303511378714,0.459,0.020895685659781782,0.309,24,2099,5974,24,-0.031573195161780684,0.021317300913209394,0.06195822126671924
Oligodendrocyte,AC097518.2,496,0.03298463692930312,0.023724000844440804,0.092,0.012228304041924022,0.469,16,213,2240,16,-0.05203344715621149,0.023768914184154964,0.06693771513592257
Astrocyte,AL161629.1,499,0.02227848789411481,0.021655027902288883,0.028,0.017818239700424475,0.11,17,1720,1720,17,-0.003539396778023949,0.01638239660591994,0.03835292659891724
L2/3 IT,AL161629.1,499,0.03827222073779657,0.03718923710481055,0.001,0.030597316954309728,0.001,26,14197,14197,26,-0.012012684908348972,0.03057415259606608,0.06768492762616411
L4 IT,AL161629.1,499,0.023353857040533662,0.022647426453165042,0.001,0.019963373171368842,0.001,24,5974,5974,24,-0.015155005484055737,0.021509554022164576,0.03444331663912558
Oligodendrocyte,AL161629.1,499,0.021474848634878647,0.021472683197085347,0.488,0.012257822818707529,0.57,16,2240,2240,16,-0.007818845488177262,0.009664372398687731,0.03521888616192387
Astrocyte,C8orf34,498,0.030204277478760515,0.020734441410017557,0.019,0.01967631830150795,0.327,17,780,1720,17,-0.03658903260627076,0.012263384384463777,0.08075592730232198
L2/3 IT,C8orf34,498,0.03825723914613564,0.03719129325523216,0.001,0.03077097413909228,0.001,26,14123,14197,26,-0.009553454833129573,0.030569594401127824,0.06758152224952592
L4 IT,C8orf34,498,0.02267322062950134,0.02266176083635235,0.461,0.01931225147948592,0.54,24,5954,5974,24,-0.016336388714925886,0.020131532256426513,0.034000329390876424
Oligodendrocyte,C8orf34,498,0.01919483642156858,0.02133280521754914,0.667,0.006929163617043393,0.784,16,589,2240,16,-0.03580405407106372,0.00475178658936735,0.05292751195238101
Astrocyte,EYA4,498,0.026656225048042163,0.022292719715340137,0.263,0.029793899874588678,0.08,17,302,1720,17,-0.031444193845748813,0.026958719841429002,0.1436781609195376
L2/3 IT,EYA4,498,0.03786278632370119,0.037133968902763416,0.2,0.03079159827547079,0.212,26,11075,14197,26,-0.014185107182307746,0.029563452611244004,0.07018275454010087
L4 IT,EYA4,498,0.027179448038941685,0.022647912205875066,0.041,0.024537393541438895,0.037,24,2664,5974,24,-0.01792622523290196,0.022128920798492126,0.050198256785941885
Oligodendrocyte,EYA4,498,0.02114631481188788,0.021500801599628937,0.692,0.011330001297610116,0.892,16,2124,2240,16,-0.017679025529661004,0.010364721121812054,0.03697715541733597
Astrocyte,KCNH8,498,0.025581907729539267,0.02118016156807707,0.227,0.01584068830927727,0.575,17,431,1720,17,-0.035154899578961056,0.019337294491940868,0.0699075457995993
L2/3 IT,KCNH8,498,0.04420893763713365,0.03710067850935198,0.001,0.035257087504227465,0.016,26,6477,14197,26,-0.00947259995748304,0.03526873908032309,0.06368548172003577
