subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC002066.1,499,0.022181310849941356,0.021710654868979495,0.119,0.017762601516083047,0.193,17,1720,1720,17,-0.004633360801200859,0.016745615999298087,0.03433776782533261
L2/3 IT,AC002066.1,499,0.03882858012041526,0.03718010022545509,0.001,0.031085373822776055,0.001,26,14197,14197,26,-0.009938987433744587,0.03180128347599517,0.06793953219018066
L4 IT,AC002066.1,499,0.023094167780380384,0.022643945561697333,0.001,0.01970266063223526,0.013,24,5974,5974,24,-0.01653032133636072,0.020600762174979408,0.035014479566607165
Oligodendrocyte,AC002066.1,499,0.021535159415279934,0.021494979670515897,0.453,0.012291630323896671,0.536,16,2240,2240,16,-0.009406731785103489,0.009785153126925347,0.03482121318358006
Astrocyte,AC079380.1,499,0.022364370030257874,0.021713081139088652,0.044,0.01764763177440377,0.215,17,1720,1720,17,-0.008007528928087922,0.016851033456905824,0.03633939119369049
L2/3 IT,AC079380.1,499,0.038111012956691045,0.03718334022442771,0.001,0.030461075569968563,0.001,26,14197,14197,26,-0.012385875762420055,0.030786957560146242,0.06711903861685109
L4 IT,AC079380.1,499,0.023114962896295273,0.02267002224580312,0.002,0.01974844709355794,0.015,24,5974,5974,24,-0.015410492464697717,0.020592140915141735,0.03494110030636314
Oligodendrocyte,AC079380.1,499,0.021307207767741098,0.021497102263206353,0.724,0.012119839831209423,0.701,16,2240,2240,16,-0.007692725643361473,0.008937616585390442,0.03506632811316774
Astrocyte,ADAMTS9-AS2,497,0.022528907218033387,0.021806383765934356,0.022,0.018103110707785,0.033,17,1716,1720,17,-0.0049316840991960945,0.016871025929768704,0.036403567043986854
L2/3 IT,ADAMTS9-AS2,497,0.0393932891268676,0.03721285796365597,0.001,0.031504251765527215,0.001,26,13248,14197,26,-0.012942421839186941,0.031827973738913024,0.06675232453362155
