subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC007319.1,499,0.024610719072147163,0.021637164992624438,0.147,0.020398091303122853,0.153,17,1255,1720,17,-0.0012991164758798367,0.014652457807230334,0.05870349693868539
L2/3 IT,AC007319.1,499,0.03773850796156652,0.037212138690395614,0.032,0.029892805119315094,0.348,26,13491,14197,26,-0.012342729955606186,0.029798348472328658,0.06811922482674124
L4 IT,AC007319.1,499,0.023645264189089313,0.022785456538114784,0.203,0.020983957207330543,0.103,24,4937,5974,24,-0.0069880351309350615,0.022109492127216576,0.039959526646171487
Oligodendrocyte,AC007319.1,499,0.030402514231437985,0.020607469767337884,0.019,0.02543384753032817,0.012,16,969,2240,16,-0.019029580707620133,0.024534031836506688,0.05459985428061698
Astrocyte,AC092114.1,499,0.022817666168430586,0.021686062644520724,0.002,0.01815625545054536,0.05,17,1720,1720,17,-0.006485884385877834,0.017100439815043042,0.03592253800247661
L2/3 IT,AC092114.1,499,0.03885422437600914,0.03719976073395071,0.001,0.03088663740697784,0.001,26,14197,14197,26,-0.01011608627654055,0.03102645888216156,0.06819796200965272
L4 IT,AC092114.1,499,0.023372877990072576,0.022661862692238695,0.001,0.01980885247385482,0.005,24,5974,5974,24,-0.0174617148518911,0.02116848845139325,0.03564534644999303
Oligodendrocyte,AC092114.1,499,0.021087299438271378,0.02150323577871222,0.92,0.011878856516979439,0.889,16,2240,2240,16,-0.009275388611880524,0.00824275296684281,0.035057498621285495
Astrocyte,AL110292.1,498,0.020365333306647485,0.02266844044733335,0.642,0.016054076778945846,0.563,17,525,1720,17,-0.02405793551299849,0.02235552787808802,0.03733857885957188
L2/3 IT,AL110292.1,498,0.03711676849625949,0.03717549093516068,0.552,0.029664689967873453,0.582,26,12965,14197,26,-0.012621382257314547,0.0299124913862061,0.06654136132857855
L4 IT,AL110292.1,498,0.022625871195382674,0.0226800674497031,0.576,0.019110866551827668,0.823,24,5811,5974,24,-0.018119753660481516,0.020523489444934335,0.0344145151788754
Oligodendrocyte,AL110292.1,498,0.011121345722643547,0.020158429537860782,0.94,0.006000172415956375,0.794,16,361,2240,16,-0.044646416886315134,0.003100822610326428,0.07611962269894396
Astrocyte,ATP10A,497,0.029144465513082984,0.019207246025712648,0.067,0.029232460494221936,0.05,17,321,1720,17,-0.01781939764808319,0.03230930892154807,0.08429467450029068
L2/3 IT,ATP10A,497,0.04472268806813577,0.03689107443494839,0.001,0.03634397468027416,0.004,26,6826,14197,26,-0.01413386856037858,0.03362896381583005,0.07605795432917284
L4 IT,ATP10A,497,0.025110471201199837,0.02284521310100241,0.082,0.021013822482834416,0.204,24,4137,5974,24,-0.030696966864075435,0.02522725372773815,0.04220805832869413
Oligodendrocyte,ATP10A,497,0.024691361983946083,0.021896081728370275,0.356,0.01392465574508039,0.405,16,126,2240,16,-0.06185172662427265,0.010263912806649123,0.0984600289118143
Astrocyte,DOCK8,499,0.022336706324952597,0.02172105828990447,0.037,0.01734700782089546,0.456,17,1720,1720,17,-0.010017562563985298,0.01542027498598486,0.03533404385705679
L2/3 IT,DOCK8,499,0.03847063062851426,0.03718372316325575,0.001,0.030731904159129606,0.001,26,14197,14197,26,-0.012228901971042948,0.030786874331677806,0.06778707144406242
L4 IT,DOCK8,499,0.02321033961349114,0.02265677111712843,0.001,0.019791153644343862,0.004,24,5974,5974,24,-0.015835583401493734,0.02070832183926487,0.03582922667709755
Oligodendrocyte,DOCK8,499,0.02139177870233895,0.02149248491465978,0.615,0.012307518292433858,0.504,16,2240,2240,16,-0.008754668109668818,0.01081813755674843,0.03482540284875941
Astrocyte,IFNG-AS1,496,0.026121840619971946,0.02047550858899812,0.205,0.019980195714598963,0.341,17,252,1720,17,-0.026608615710247033,0.009438572740553854,0.13428548427908765
L2/3 IT,IFNG-AS1,496,0.0439894944921043,0.03731495085762979,0.001,0.0359018703717549,0.008,26,6095,14197,26,0.0002825862092633209,0.03689073118100444,0.0656907605841389
L4 IT,IFNG-AS1,496,0.025789131703009966,0.0225476178396554,0.091,0.020438542511639,0.359,24,2800,5974,24,-0.040710103376183825,0.019280222207866834,0.057832078133447824
Oligodendrocyte,IFNG-AS1,496,0.01897157018087653,0.021319637611571154,0.799,0.009641007436458624,0.765,16,1524,2240,16,-0.02371865488817418,0.00677275126448155,0.05578577003680841
Astrocyte,LINC01608,496,0.022899609507933127,0.021780183180527504,0.416,0.023431195475063487,0.253,16,221,1720,17,-0.03787878787878722,0.019679038147763183,0.13067457528380982
L2/3 IT,LINC01608,496,0.04658249520810863,0.03744006697825995,0.001,0.0400906883536446,0.001,26,7064,14197,26,0.0030870610468917347,0.044014173311092794,0.07921695002077707
L4 IT,LINC01608,496,0.020759835702107456,0.02277650296579036,0.795,0.018197527404090964,0.662,24,2690,5974,24,-0.010026683879925584,0.019655206887152287,0.050069228059697865
Oligodendrocyte,LINC01608,496,0.02111183652446759,0.021490865903815635,0.872,0.011609541784100914,0.959,16,2234,2240,16,-0.011594597597250591,0.009260912226363905,0.034605166531641925
Astrocyte,MYBPC1,497,0.021627057560535626,0.02174641648708371,0.641,0.01678626690322181,0.849,17,1717,1720,17,-0.010868517394867033,0.01481670779831846,0.03783230113361664
L2/3 IT,MYBPC1,497,0.062473206660897604,0.03747201042354243,0.001,0.04846044546910978,0.001,26,7473,14197,26,-0.026040431625343266,0.048189373963767594,0.09809660333793482
L4 IT,MYBPC1,497,0.028695314968678293,0.023328053571674317,0.02,0.026179498527564543,0.015,24,2119,5974,24,-0.0048375198219675185,0.023527696414105397,0.06565137582087345
Oligodendrocyte,MYBPC1,497,0.019771189997713216,0.021139449423881924,0.579,0.00543564603290503,0.832,16,252,2240,16,-0.04999999999999948,0.006410171753326919,0.054144618980010294
Astrocyte,RANBP3L,496,0.022183969454394895,0.02170633462426254,0.1,0.017387558932707325,0.421,17,1720,1720,17,-0.007714868780371109,0.01579362553443593,0.03441732872837861
L2/3 IT,RANBP3L,496,0.04581973634034204,0.03765443760811585,0.001,0.03618492195851019,0.001,26,9538,14197,26,-0.004018512646877507,0.038571970214450454,0.07933664655761374
L4 IT,RANBP3L,496,0.02208360855642502,0.02247866337153102,0.568,0.019432515955368084,0.496,24,3588,5974,24,-0.007295804577388443,0.018365461978109072,0.04679090119583939
Oligodendrocyte,RANBP3L,496,0.01314865595677587,0.019744550849375035,0.88,0.008591247107693434,0.735,16,478,2240,16,-0.048680359367510216,0.011162889322907965,0.07078963071433429
Astrocyte,SOX6,499,0.021807442374319336,0.021646585163880905,0.318,0.017485250129931934,0.308,17,1720,1720,17,-0.008772203138911113,0.01865392688436056,0.03950262142259864
L2/3 IT,SOX6,499,0.039176305760412054,0.03718462767556806,0.001,0.031327788559718794,0.001,26,14197,14197,26,-0.010419292970659005,0.03165186289827113,0.06843188739613507
L4 IT,SOX6,499,0.02319491035005091,0.022656185944075286,0.001,0.019643997145446217,0.056,24,5974,5974,24,-0.016480809483366384,0.019990849163032714,0.0359589446991186
Oligodendrocyte,SOX6,499,0.02120509206772672,0.021493524471869592,0.793,0.012002754746781186,0.773,16,2240,2240,16,-0.006114965623689506,0.010654729977702823,0.0342214488043801
