subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC008568.1,499,0.01898715546269108,0.019266427069207472,0.498,0.02929697662738323,0.095,17,111,1720,17,-0.042072844585788985,0.022247003685567857,0.14109881211873737
L2/3 IT,AC008568.1,499,0.04523295352210024,0.03720271527756932,0.001,0.03564280589772009,0.002,26,9549,14197,26,-0.05373488284025712,0.036972635758949324,0.07962956173437873
L4 IT,AC008568.1,499,0.023781903090250578,0.021067826682986308,0.204,0.020094339152828027,0.412,24,1191,5974,24,-0.021073939788409157,0.021864043412364885,0.05815396947158291
Oligodendrocyte,AC008568.1,499,0.01951742687043864,0.020115970028239602,0.517,0.010979478735350389,0.509,16,137,2240,16,-0.0655779616242438,0.004641161448937135,0.13798686488372788
Astrocyte,AC093607.1,499,0.024841964769958622,0.01874464018732636,0.191,0.0272975988875894,0.078,17,322,1720,17,-0.03830980755728063,0.028717100982554537,0.09973463451670282
L2/3 IT,AC093607.1,499,0.03930828327428884,0.037132595433463575,0.001,0.03138828718833474,0.001,26,13883,14197,26,-0.010799156521731112,0.032776790058647455,0.06809551467925266
L4 IT,AC093607.1,499,0.023914672826813164,0.022693453786626547,0.003,0.020003456847979034,0.037,24,5701,5974,24,-0.015740209360494493,0.021024017449494985,0.037300322615400824
Oligodendrocyte,AC093607.1,499,0.026297032087284275,0.022539841287824575,0.23,0.013510605707998521,0.424,16,626,2240,16,-0.0512791667472552,0.007163520115480249,0.07592021817269304
Astrocyte,AL136441.1,499,0.01650519872262388,0.023351877136385,0.878,0.00933239059694785,0.86,17,473,1720,17,-0.04712745598610858,0.0069523910761333935,0.07308740675637243
L2/3 IT,AL136441.1,499,0.038379330574256756,0.037131865226846465,0.001,0.030631724642184652,0.001,26,14120,14197,26,-0.01271886754952655,0.030475360066245648,0.06742162205255492
L4 IT,AL136441.1,499,0.020541858135218725,0.022810999564377533,0.967,0.01759179354003412,0.902,24,4652,5974,24,-0.0058452714198275225,0.020155681589164004,0.03222697569744615
Oligodendrocyte,AL136441.1,499,0.015732474466648674,0.020167561240513318,0.772,0.026275510013750086,0.027,16,340,2240,16,-0.03568428815005275,0.014383084634845566,0.19642774070012378
Astrocyte,BMPR1B,499,0.022592685554762473,0.021755924096974466,0.018,0.018409393844595417,0.023,17,1720,1720,17,-0.0017183051470397602,0.01778123415520844,0.03686455209238505
L2/3 IT,BMPR1B,499,0.03810682750338445,0.037203855965057354,0.001,0.030630675607288018,0.001,26,13947,14197,26,-0.00857616444422731,0.030515937131196342,0.06621752242112634
L4 IT,BMPR1B,499,0.018831382023134897,0.022694340945380143,0.98,0.015607579893268187,0.977,24,3660,5974,24,-0.015121823752358331,0.018351259786025628,0.03677247512707437
Oligodendrocyte,BMPR1B,499,0.022366628132182664,0.02149014444183744,0.427,0.01254471515780537,0.474,16,584,2240,16,-0.03158558256116826,0.01710011268670435,0.04461040720868531
Astrocyte,ENPP2,498,0.02592715394505763,0.02090337102550792,0.193,0.026353674592959828,0.076,17,518,1720,17,-0.022531181990956013,0.02776585708821478,0.07230833210330911
L2/3 IT,ENPP2,498,0.04273627730880833,0.03700495141630002,0.001,0.03759921917226926,0.002,26,9275,14197,26,0.007006867541721543,0.03752063803754903,0.0731835593722256
L4 IT,ENPP2,498,0.02453264841432394,0.02256780832293651,0.128,0.022281957599564726,0.073,24,3941,5974,24,-0.0008693612029145815,0.024842671905395464,0.0403257943167394
