subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC004949.1,499,0.0226438368063038,0.0212968139225847,0.397,0.01599673128765372,0.603,17,756,1720,17,-0.02837365667125624,0.015961109253637144,0.059940620146701915
L2/3 IT,AC004949.1,499,0.04096204565073836,0.037291415778393386,0.001,0.03230749976472701,0.016,26,11453,14197,26,-0.013542137991165213,0.030826589452636076,0.06952553730894794
L4 IT,AC004949.1,499,0.02417036301479413,0.022593847866065917,0.127,0.019860910170241546,0.349,24,4544,5974,24,-0.02710416651214598,0.02053970615707542,0.06009551742187835
Oligodendrocyte,AC004949.1,499,0.01605758107876681,0.018511987967339622,0.653,0.0009208163192297768,0.984,16,452,2240,16,-0.0519611216713945,-0.0051669634106211206,0.05390397608927864
Astrocyte,AC087564.1,498,0.022290794763495603,0.021691175525595584,0.034,0.017683975280878655,0.176,17,1719,1720,17,-0.0007631508793948533,0.01498589917628304,0.03599096850616752
L2/3 IT,AC087564.1,498,0.03863209366458076,0.03718207717740925,0.204,0.028690974670646394,0.685,26,5088,14197,26,-0.018367359690396236,0.03125025221116027,0.07221971967692974
L4 IT,AC087564.1,498,0.023585578712839728,0.0226006998630813,0.362,0.019342924163099764,0.492,24,1981,5974,24,-0.06249756791108589,0.020456886441830135,0.048195908658712934
Oligodendrocyte,AC087564.1,498,0.021629642735249373,0.021489065026065856,0.337,0.012344721335783508,0.474,16,2240,2240,16,-0.008576840214866755,0.010131582417098196,0.03439082106103747
Astrocyte,ADH1B,443,0.038927065303477726,0.016339688319918066,0.095,0.04488177409385041,0.101,8,28,1720,17,-0.034969988196824994,0.025639750101535425,0.16393970473477734
L2/3 IT,ADH1B,443,0.03946805750253381,0.036718865627840803,0.226,0.034273670822286155,0.17,26,512,14197,26,-0.05192222561007988,0.03562500031390026,0.1605762267818244
L4 IT,ADH1B,443,0.015649080273926,0.02211371824013611,0.894,0.011859669698378409,0.923,24,233,5974,24,-0.031953139560918754,0.01127445136256305,0.06868393669966111
Oligodendrocyte,ADH1B,443,0.025296443685008517,0.025516020096968135,0.546,0.015599436156648196,0.569,4,9,2240,16,-0.02550765241215563,-0.005769219900257479,0.09944383683926336
Astrocyte,APOE,499,0.02241458208495439,0.021688324374450042,0.04,0.0179490757302859,0.134,17,1720,1720,17,-0.004538474298683789,0.01794740353578063,0.03497789843972465
L2/3 IT,APOE,499,0.03974571634257909,0.037191350650122336,0.001,0.031892092200526204,0.001,26,14197,14197,26,-0.00925022771208252,0.031764308077827624,0.0695040513603498
L4 IT,APOE,499,0.02356041096134871,0.022657621298685305,0.001,0.020013479942547364,0.001,24,5974,5974,24,-0.01754505242112216,0.021312583148279416,0.03497553749502152
Oligodendrocyte,APOE,499,0.02145332192837529,0.021486878627638387,0.538,0.012438217177252821,0.366,16,2240,2240,16,-0.010734800400379748,0.00854219026570674,0.03445301418014219
Astrocyte,DISC1FP1,499,0.01998815426705274,0.02153130257824549,0.623,0.01316372025069491,0.763,17,747,1720,17,-0.040955097484017364,0.009458969514965603,0.050633157033372955
L2/3 IT,DISC1FP1,499,0.03874376942484273,0.03714063002273885,0.001,0.03064631996933354,0.003,26,13403,14197,26,-0.014686960927132677,0.030175716681923967,0.07558036046410475
L4 IT,DISC1FP1,499,0.022779858520663502,0.022665795306769956,0.275,0.019550777523198833,0.152,24,5906,5974,24,-0.013516108709327703,0.020551569117261113,0.03560006483947909
Oligodendrocyte,DISC1FP1,499,0.02020363388596709,0.021301929623819604,0.621,0.008172109527869807,0.908,16,1409,2240,16,-0.022195265940396523,0.006718454462503756,0.04294925049850338
Astrocyte,HSPA1A,498,0.028062337862869616,0.021320194445419976,0.006,0.020020368899540366,0.072,17,1358,1720,17,-0.007467730203457724,0.017532238434951334,0.049775541648154564
L2/3 IT,HSPA1A,498,0.037732375316112794,0.037123548071613256,0.12,0.029771634911220292,0.479,26,12507,14197,26,-0.028492569032186964,0.032553632498675156,0.06797229901889651
L4 IT,HSPA1A,498,0.02280412732080667,0.02267742276708745,0.326,0.01940866782329073,0.402,24,5778,5974,24,-0.015138341272098994,0.02120120595662813,0.03560199064761105
