subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC021723.2,498,0.026840744123789607,0.02077354707923551,0.128,0.024732018827214316,0.116,17,566,1720,17,-0.015579315521312838,0.0283462427971324,0.0723912862000675
L2/3 IT,AC021723.2,498,0.03775725325317117,0.03678617059616141,0.223,0.0325680737094478,0.066,26,8676,14197,26,-0.008079630832128565,0.029693027335470613,0.07457519822335498
L4 IT,AC021723.2,498,0.01912425752402727,0.022661985096165526,0.945,0.014915154628073616,0.962,24,3369,5974,24,-0.06361235563026088,0.01655234341269079,0.048833665273398684
Oligodendrocyte,AC021723.2,498,0.020012498560677668,0.019643132981026032,0.456,0.014941782885694192,0.369,16,370,2240,16,-0.0052230499154179745,0.007240138657833333,0.05833046604872337
Astrocyte,AC110992.1,498,0.0224847132139637,0.018968559421404768,0.342,0.03572479466120863,0.04,17,147,1720,17,-0.03685235323291302,0.03404275846339099,0.1551724137931009
L2/3 IT,AC110992.1,498,0.042822490936069824,0.03732045348446443,0.001,0.03524507535116712,0.001,26,12374,14197,26,-0.005479574956900822,0.036720567702714264,0.06603599653370391
L4 IT,AC110992.1,498,0.022892796553310262,0.022682879067967857,0.375,0.01941643012922555,0.455,24,5092,5974,24,-0.009215426421825119,0.020238572052772207,0.039393326631988204
Oligodendrocyte,AC110992.1,498,0.003116000978681892,0.018351767051483434,0.972,4.046087326819347e-05,0.999,14,114,2240,16,-0.05080035898153925,-0.004622833560682268,0.07234881831281081
Astrocyte,AL359636.2,499,0.02242817815638826,0.021673363989148795,0.019,0.017742659510419208,0.172,17,1720,1720,17,-0.007845246348072826,0.015765999485642945,0.03683789282535568
L2/3 IT,AL359636.2,499,0.039134890733943974,0.037177858086474336,0.001,0.03134194274370343,0.001,26,14197,14197,26,-0.010532005814292611,0.03138299331307949,0.06814502068581456
L4 IT,AL359636.2,499,0.023318938233207097,0.02267264492537901,0.001,0.019779196784757293,0.01,24,5974,5974,24,-0.01875901771032203,0.0208440609294369,0.03557746223081254
Oligodendrocyte,AL359636.2,499,0.021644598750219256,0.0214911294138117,0.301,0.012791252671877192,0.112,16,2240,2240,16,-0.008147704441463918,0.010633099110007512,0.03444958753685591
Astrocyte,CD36,498,-0.00480143707009416,0.02039563904816751,0.96,-0.00272423554184452,0.978,15,85,1720,17,-0.04188037858223435,-0.016075949655898945,0.09125070374455907
L2/3 IT,CD36,498,0.0384484415125961,0.037244361311912125,0.032,0.030848034723959118,0.148,26,11847,14197,26,-0.006227135482052928,0.029419627813933116,0.06738053010359867
L4 IT,CD36,498,0.020410363612468473,0.022551338488333236,0.889,0.016848221495444373,0.9,24,3954,5974,24,-0.029406175532213474,0.019797184605514453,0.05032243941321713
