subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC004852.2,493,0.022299531855016094,0.021641508587831242,0.451,0.021382332109779894,0.423,14,105,1720,17,-0.042063194962093924,0.01283230662538699,0.14824588274316008
L2/3 IT,AC004852.2,493,0.04720179855262442,0.03719299502213499,0.001,0.03510198827497624,0.039,26,3947,14197,26,-0.03312275340448975,0.04024506410024038,0.08733351662574304
L4 IT,AC004852.2,493,0.01961484531430364,0.022009307914223064,0.715,0.020283002168433456,0.414,24,564,5974,24,-0.053445719011999494,0.02330595033264707,0.06364722441087554
Oligodendrocyte,AC004852.2,493,0.0213261297273332,0.021211208981759676,0.488,0.019388942574224584,0.329,12,42,2240,16,-0.02761018055897387,-0.005823186895144158,0.15740740740740786
Astrocyte,AC083837.1,492,0.022348036352791305,0.021732401948563067,0.259,0.01828971782426537,0.234,17,1601,1720,17,-0.008967058657106638,0.01605971735490471,0.03697599413318128
L2/3 IT,AC083837.1,492,0.05319355423376989,0.03764561290469499,0.001,0.044626147358291984,0.001,26,4055,14197,26,-0.0394264449707595,0.050654347609045025,0.08225586249987435
L4 IT,AC083837.1,492,0.021844327708354153,0.022890384193393395,0.64,0.014780948370298587,0.893,24,1639,5974,24,-0.06815679735430949,0.020262410970479684,0.06007897277947668
Oligodendrocyte,AC083837.1,492,0.018016739549887986,0.0208514638601582,0.593,0.011215881324221773,0.59,14,63,2240,16,-0.05298570796950144,0.0020930367045192385,0.12674058402489385
Astrocyte,ADGRV1,499,0.022660030642549813,0.021719899178342463,0.01,0.018075990720934867,0.065,17,1720,1720,17,-0.005229785532239854,0.016678457167548663,0.03645396904117001
L2/3 IT,ADGRV1,499,0.038881703872530246,0.03720083970224482,0.001,0.03091936528343007,0.001,26,14197,14197,26,-0.013505620586560184,0.031672500377320806,0.06843152801487053
L4 IT,ADGRV1,499,0.02319902194116403,0.022650541437785946,0.001,0.019701527497956506,0.014,24,5974,5974,24,-0.016308518205662537,0.020811559993598662,0.03525111125848043
