subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC069410.1,485,0.026883532847423373,0.021800390262250894,0.309,0.013867530180546718,0.678,15,69,1720,17,-0.027629400434262326,0.013164927971904817,0.07813560637808116
L2/3 IT,AC069410.1,485,0.03593983606793988,0.036936402804790366,0.666,0.02940190320352564,0.527,26,2539,14197,26,-0.04289329065436062,0.030174515506911463,0.07694374828639915
L4 IT,AC069410.1,485,0.024046872179834464,0.02212831979742791,0.292,0.022308783347762918,0.237,24,877,5974,24,-0.0239720641797739,0.023697816013588415,0.06462673965250267
Oligodendrocyte,AC069410.1,485,0.02801844552026518,0.023247603075840097,0.279,0.020526788071674285,0.276,14,84,2240,16,-0.031512939460792116,0.02032013033399785,0.11433654565638328
Astrocyte,AC138305.1,499,0.018926820258703868,0.021595273284922754,0.642,0.012448011724688155,0.765,17,345,1720,17,-0.023852710624653165,0.009817994870462388,0.05734920755948519
L2/3 IT,AC138305.1,499,0.04074847962712381,0.037204864837973,0.001,0.0324308957512996,0.001,26,12915,14197,26,-0.01135882474285784,0.03269388861629892,0.07161965562299613
L4 IT,AC138305.1,499,0.023027983691711388,0.02268219901551494,0.415,0.020487853893685255,0.308,24,3379,5974,24,-0.017589189259655427,0.021467114434894345,0.04236422630244999
Oligodendrocyte,AC138305.1,499,0.02460398054897028,0.02102074234687075,0.235,0.009541457612508701,0.633,16,485,2240,16,-0.04292264758758391,0.00851005638010711,0.0528855704439278
Astrocyte,ALDH1A1,499,0.02236788770521819,0.02168135569305036,0.048,0.01823910362014654,0.06,17,1720,1720,17,-0.002923160138644285,0.01864172500237275,0.03619380156384549
L2/3 IT,ALDH1A1,499,0.04672964960433009,0.03731765045180429,0.001,0.040657962369930196,0.001,26,4581,14197,26,-0.022198160335218986,0.040035403582386206,0.07098434423309692
L4 IT,ALDH1A1,499,0.025600411492996432,0.02264582994795853,0.001,0.02160702879268998,0.001,24,5325,5974,24,-0.01463766544907544,0.021826386054750412,0.039464012583285746
Oligodendrocyte,ALDH1A1,499,0.01515005672370562,0.018691731944486742,0.708,0.013679393962311989,0.417,16,266,2240,16,-0.041425581747032064,0.009856954874198883,0.07967665641697108
Astrocyte,COL25A1,498,0.023290117242954177,0.021832105031657053,0.101,0.020382438874386948,0.079,17,1626,1720,17,-0.00038346297721741424,0.017470359437099323,0.06735759272795393
L2/3 IT,COL25A1,498,0.0377230510003835,0.03716354379692544,0.001,0.030187009558224533,0.003,26,14173,14197,26,-0.013170432626905086,0.03023461591676274,0.06620575389564584
L4 IT,COL25A1,498,0.022856361611975632,0.022661812719997367,0.09,0.01948871121661675,0.177,24,5965,5974,24,-0.017650174305619555,0.020493828724973594,0.03478173582026041
Oligodendrocyte,COL25A1,498,0.02259055505456845,0.021133241294454156,0.313,0.014436983643216016,0.27,16,1421,2240,16,-0.024109467532768717,0.019807208045065406,0.036890311723698714
Astrocyte,GPC5,499,0.022822732860527096,0.021709695600097046,0.003,0.018445920861890393,0.014,17,1720,1720,17,-0.0032375676336882492,0.016735624902537778,0.03642061702753359
L2/3 IT,GPC5,499,0.03829690468709592,0.037217990200171684,0.001,0.03074459503166309,0.001,26,14197,14197,26,-0.010022486268593965,0.030855298790924985,0.06718625377851836
L4 IT,GPC5,499,0.023164597482374042,0.022665361499071373,0.005,0.01969410210260437,0.035,24,5964,5974,24,-0.01775524474118317,0.021181621358230377,0.03498595010868643
Oligodendrocyte,GPC5,499,0.02072433096451127,0.021531117631207845,0.765,0.011605734948496704,0.707,16,2023,2240,16,-0.009630814406057023,0.009042190347624634,0.03600635840593051
Astrocyte,LINC01094,490,0.022117112539296633,0.02174451584323201,0.143,0.018036265621595753,0.029,17,1713,1720,17,-0.0018326112588182356,0.017611200440261675,0.037280455159189665
L2/3 IT,LINC01094,490,0.04567633846415112,0.03677432158315883,0.001,0.03992804264902894,0.002,26,2498,14197,26,-0.00725189824953906,0.04187810119038028,0.08533817818442235
L4 IT,LINC01094,490,0.023898721537469383,0.022342747509735784,0.327,0.022671150752730587,0.216,24,622,5974,24,-0.025378910185523424,0.022716804588145043,0.06361709159821474
Oligodendrocyte,LINC01094,490,0.007672136484751105,0.01859837050808429,0.848,0.006813153868624916,0.768,11,51,2240,16,-0.04301075268817203,-0.0032573289902106087,0.07457270701749777
Astrocyte,MCTP2,499,0.022310847263595213,0.021677234187850575,0.03,0.017645812338194514,0.18,17,1720,1720,17,-0.005809288303853441,0.01654949783096306,0.037190151735315924
L2/3 IT,MCTP2,499,0.0388527865966032,0.0371866412255577,0.001,0.03108228438413379,0.001,26,14197,14197,26,-0.009886755734046916,0.031377083816507126,0.06782991370940405
L4 IT,MCTP2,499,0.023309613853222944,0.02265301121385709,0.001,0.0197548665056213,0.015,24,5974,5974,24,-0.014733029591350703,0.021093361433719045,0.03466755719693824
Oligodendrocyte,MCTP2,499,0.02125533439930759,0.021484970649360256,0.786,0.011865927334217928,0.89,16,2240,2240,16,-0.008726981979817935,0.00962659800060584,0.034687199547238465
Astrocyte,PIK3R5,499,0.02234199536410607,0.021686446067001784,0.032,0.017681045502186025,0.215,17,1720,1720,17,-0.0024096861716570686,0.018468003311578635,0.03636221942329377
L2/3 IT,PIK3R5,499,0.0385012182417143,0.03719663346728932,0.001,0.030716338032826387,0.001,26,14197,14197,26,-0.012278219446978265,0.030684743489296645,0.0681255458706435
L4 IT,PIK3R5,499,0.023196390368283065,0.022672517891892494,0.001,0.01962968429218122,0.05,24,5974,5974,24,-0.018689008283646228,0.021306311231641575,0.03528930962288746
Oligodendrocyte,PIK3R5,499,0.020902471586141846,0.021500930954661955,0.972,0.011886497186283053,0.881,16,2240,2240,16,-0.009273077375668006,0.009751041200470201,0.03420907576595139
Astrocyte,SLC22A3,499,0.022097341911313784,0.021701013453027558,0.147,0.01783352896401072,0.157,17,1720,1720,17,-0.004807387303904862,0.017430905005880196,0.036337195218308506
L2/3 IT,SLC22A3,499,0.03825720791754329,0.037188492374388434,0.001,0.030415091595687147,0.001,26,14197,14197,26,-0.014786742592344176,0.030712906412840267,0.06752422981568333
L4 IT,SLC22A3,499,0.02292909936513722,0.022659694237587104,0.034,0.019648727798541446,0.036,24,5974,5974,24,-0.013598494821938558,0.02137648590556326,0.035008503710274
Oligodendrocyte,SLC22A3,499,0.0215082836485281,0.02151690917500873,0.493,0.012305397941115168,0.532,16,2240,2240,16,-0.008373550018053105,0.009216019570761111,0.03499074058677082
Astrocyte,ZIC1,483,0.022524834206422515,0.021712338423624508,0.057,0.017906264746763396,0.164,17,1720,1720,17,-0.006793036221674424,0.016552203246482215,0.038078531134107
L2/3 IT,ZIC1,483,0.038262507135081045,0.03721048200466327,0.001,0.030672024592953075,0.001,26,14197,14197,26,-0.01181179482553772,0.031160396765785105,0.06745425197069216
L4 IT,ZIC1,483,0.022708179657810315,0.022656974230575076,0.437,0.01941896777080448,0.393,24,5974,5974,24,-0.01275065958122718,0.020132961674473766,0.03533121370326779
Oligodendrocyte,ZIC1,483,0.02098220145064064,0.021474066071241985,0.82,0.011745696696670884,0.821,16,2240,2240,16,-0.009790863611521487,0.008780775871698268,0.03410358717435462
