subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC007402.1,499,0.02474389412094281,0.022019069237163354,0.027,0.0216074039320722,0.048,17,1560,1720,17,-9.678678066636196e-05,0.01754783684392089,0.05977743374184522
L2/3 IT,AC007402.1,499,0.03925929579711041,0.03718013373467567,0.001,0.031249995142535156,0.004,26,13127,14197,26,-0.018835037985467717,0.032882042806609675,0.06811429099594309
L4 IT,AC007402.1,499,0.022982729462346304,0.022641762055851142,0.04,0.01949256276685816,0.212,24,5905,5974,24,-0.01799689276164738,0.020539180100453497,0.0357429632778702
Oligodendrocyte,AC007402.1,499,0.01695878926139543,0.022176977774553627,0.817,0.0020000831738169154,0.953,16,421,2240,16,-0.06247819853354797,0.004319353136508201,0.052153144292128306
Astrocyte,AC092131.1,496,0.04235631081383553,0.020230327997311483,0.001,0.029689079363105136,0.017,17,547,1720,17,-0.028122225467678962,0.029644580226117333,0.10656682379377748
L2/3 IT,AC092131.1,496,0.04381489226569946,0.035886060555740444,0.001,0.03864326667774575,0.002,26,4171,14197,26,0.01056247614021078,0.03420475483782433,0.10103313904791032
L4 IT,AC092131.1,496,0.025634602661783617,0.02244514596364505,0.18,0.021245129420502534,0.307,24,1047,5974,24,-0.057186804048530736,0.026628046775675887,0.05575711059433673
Oligodendrocyte,AC092131.1,496,0.007645859259721133,0.019706466790211357,0.9,-0.002062194733119235,0.918,14,78,2240,16,-0.04508565741002464,-0.0017876618688474617,0.03850442773620727
Astrocyte,AL133346.1,496,0.022854408566353523,0.02195968704741972,0.292,0.017749866846568388,0.427,17,1496,1720,17,-0.012581335060267556,0.016005701144695357,0.04949672337780965
L2/3 IT,AL133346.1,496,0.04361396001474404,0.03613380340468983,0.001,0.03569053554272714,0.032,26,2760,14197,26,-0.021284279498798825,0.03804146841296993,0.08210518670850289
L4 IT,AL133346.1,496,0.0351026579997455,0.022551129023680727,0.001,0.033887165962009046,0.001,24,1805,5974,24,-0.012910904610128643,0.03187135930762286,0.0768242527021798
Oligodendrocyte,AL133346.1,496,0.022627859330996716,0.02167414274676912,0.327,0.014921886388048955,0.188,16,1694,2240,16,-0.004522281704666059,0.012337890631187402,0.0372049357727519
Astrocyte,ATP1A2,499,0.022439501035798903,0.02164576060824619,0.022,0.01762791394022582,0.245,17,1720,1720,17,-0.005648553425546086,0.016415025835380338,0.03604996713856996
L2/3 IT,ATP1A2,499,0.03924278129272523,0.03720061000407591,0.001,0.03142813617042344,0.001,26,14197,14197,26,-0.009943120238772344,0.03164488327288881,0.06824525575644781
L4 IT,ATP1A2,499,0.023676099904905795,0.022661438904557137,0.001,0.02016374065681642,0.001,24,5974,5974,24,-0.01840345584887367,0.02124791576675654,0.035137309846768716
Oligodendrocyte,ATP1A2,499,0.02163751202878214,0.02151341054669844,0.353,0.012252337337201784,0.591,16,2240,2240,16,-0.007944706505305793,0.008871742789314763,0.03516557434830168
Astrocyte,EBF1,494,0.022816731771375907,0.021690671825277265,0.022,0.018262815572139064,0.088,17,1720,1720,17,-0.00354575959303741,0.01804069696624415,0.037821941401488264
L2/3 IT,EBF1,494,0.03825797669083479,0.037185734772495156,0.001,0.03083390465918902,0.001,26,14197,14197,26,-0.007827855912076583,0.03093711252395996,0.06729164395432025
L4 IT,EBF1,494,0.022764949766602937,0.022651227385629986,0.331,0.01948036201222605,0.318,24,5974,5974,24,-0.012016643033854262,0.020047955492029465,0.03501171391546964
Oligodendrocyte,EBF1,494,0.021020697706194642,0.021501796554034974,0.808,0.011652468536964779,0.841,16,2240,2240,16,-0.009691122943703495,0.009243459458377457,0.034105830790008784
Astrocyte,IGFBP7,499,0.02251347619139086,0.021700457957147496,0.021,0.017871793261472917,0.15,17,1720,1720,17,-0.004765846057288233,0.01817482454425394,0.03675288963725373
L2/3 IT,IGFBP7,499,0.03920715668596068,0.03717990496737636,0.001,0.031435821428416735,0.001,26,14197,14197,26,-0.01089644657456827,0.03225193370916367,0.0681314364505482
L4 IT,IGFBP7,499,0.023331262310209485,0.022663320042597666,0.001,0.019819017718149066,0.004,24,5974,5974,24,-0.018437396725720107,0.02078290750552908,0.034687584878203837
Oligodendrocyte,IGFBP7,499,0.021398381743502542,0.021491835705998462,0.602,0.012267045594845039,0.555,16,2240,2240,16,-0.00965819899519431,0.010046743130994828,0.03528938858349303
