subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC073225.1,499,0.022273468375064175,0.021704501780180047,0.055,0.017752280766899515,0.157,17,1720,1720,17,-0.0058591943612166806,0.01727480334063716,0.034258738103524075
L2/3 IT,AC073225.1,499,0.03817549181436451,0.03720126747392315,0.001,0.03036587512143835,0.001,26,14197,14197,26,-0.012814974771849189,0.030631366018364976,0.06735320747189615
L4 IT,AC073225.1,499,0.023307939042097908,0.02266230756048614,0.001,0.01990286562763373,0.003,24,5974,5974,24,-0.01683790311144488,0.02110325882730173,0.03449471436917703
Oligodendrocyte,AC073225.1,499,0.021977029059695403,0.021476011291254444,0.044,0.013062857893338572,0.022,16,2240,2240,16,-0.007429169991099937,0.009357467749973742,0.034752056966066085
Astrocyte,ADAM28,496,0.02453366487708258,0.021609422435699965,0.386,0.02366318975592728,0.279,15,74,1720,17,-0.03346828738064528,0.0209399873681141,0.1458333333333338
L2/3 IT,ADAM28,496,0.07330292797109828,0.037284232657400745,0.001,0.059095935471713434,0.001,26,7730,14197,26,-0.0004402766822946865,0.05907789485226768,0.12042134645851126
L4 IT,ADAM28,496,0.02645574117580181,0.02286642259833061,0.08,0.023131263666447466,0.099,24,2711,5974,24,-0.04748930074477832,0.026413143272249456,0.04875359372139647
Oligodendrocyte,ADAM28,496,0.011403662534992495,0.019797373226383103,0.86,0.005561498447737468,0.773,16,123,2240,16,-0.025741999417105695,0.008990002608077079,0.04231316666247828
Astrocyte,ALK,499,0.0215602897164036,0.021748185225943975,0.683,0.017236688317947217,0.555,17,1720,1720,17,-0.007760966476673597,0.016655003526787948,0.035488794293466595
L2/3 IT,ALK,499,0.03879622159850222,0.037198079666182646,0.001,0.03102673956326652,0.001,26,14197,14197,26,-0.010274497720878005,0.03119285184698445,0.06779722012276482
L4 IT,ALK,499,0.02331101114237029,0.02266513308039724,0.001,0.01981425879512433,0.008,24,5974,5974,24,-0.01932079804250238,0.021206315089727014,0.03482379641188909
Oligodendrocyte,ALK,499,0.02153698278864813,0.021498442173755048,0.444,0.012684969427439033,0.187,16,2240,2240,16,-0.008619372607393802,0.011083620548690278,0.034383656247847755
Astrocyte,COLEC12,499,0.022700573068079103,0.021729917385359468,0.006,0.017920633087989322,0.109,17,1720,1720,17,-0.006212570104587126,0.01535447335196352,0.037238622358206686
L2/3 IT,COLEC12,499,0.03880752475583363,0.03719036484133666,0.001,0.03093952080276258,0.001,26,14197,14197,26,-0.01277254383891064,0.03137961458190387,0.06796971992380238
L4 IT,COLEC12,499,0.023121560424875506,0.022665369875162315,0.002,0.019601374182982054,0.066,24,5974,5974,24,-0.017341296980806397,0.02057727811163025,0.0351950094217143
Oligodendrocyte,COLEC12,499,0.021208648860854995,0.021517240141856905,0.823,0.012385356797559127,0.451,16,2240,2240,16,-0.007270029043197193,0.009952253920685205,0.03430782628896947
Astrocyte,GPR17,426,-0.012458721104773238,0.01501594158954324,0.607,-0.012462006079027256,0.608,2,2,1720,17,-0.01428571428571564,-0.012462006079027256,-0.010638297872338873
L2/3 IT,GPR17,426,0.025745683513912525,0.031231615937777155,0.897,0.027250077560653684,0.792,25,343,14197,26,-0.02160493827160426,0.02229941077455515,0.08294378882865923
L4 IT,GPR17,426,0.007306216036636547,0.021358364285802633,0.993,0.005185599472573264,0.991,23,146,5974,24,-0.039595315395461295,-0.0017427945297525877,0.07793121507901417
