subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC013265.1,490,0.042244732224895255,0.02042980239544817,0.073,0.020174866764233794,0.391,10,27,1720,17,-0.031007751937985172,-0.01017975055025756,0.11608305889733073
L2/3 IT,AC013265.1,490,0.045206756526223336,0.03742902189345551,0.001,0.035569348901996714,0.013,26,6472,14197,26,-0.015355087704447096,0.03626114718380491,0.08383377848281144
L4 IT,AC013265.1,490,0.020709957329312606,0.021020859491543576,0.52,0.02030425527659728,0.428,24,314,5974,24,-0.0399242946759247,0.02011548997812539,0.07811795489168032
Oligodendrocyte,AC013265.1,490,0.025645132955133203,0.02223344883079094,0.356,0.0027663408056395984,0.857,13,55,2240,16,-0.04126137313038482,-0.01294655120569267,0.0860437758842656
Astrocyte,AC100849.1,499,0.02193426556604647,0.02166738449044167,0.275,0.017526784818691802,0.362,17,1720,1720,17,-0.007430731667092704,0.01600433389978328,0.03516424673727449
L2/3 IT,AC100849.1,499,0.039302540140664935,0.0371864210785834,0.001,0.0312169354594834,0.001,26,14197,14197,26,-0.01480800884102009,0.03165792858345195,0.06874351642314906
L4 IT,AC100849.1,499,0.02359758518184898,0.022665896597839078,0.001,0.019952391815165758,0.002,24,5974,5974,24,-0.02050934376758832,0.02134505223146361,0.03517218841662269
Oligodendrocyte,AC100849.1,499,0.02174647585955376,0.021505848845903855,0.221,0.012472468022413453,0.352,16,2240,2240,16,-0.008967715304936943,0.008835115560487364,0.03516337839256705
Astrocyte,AL353072.2,496,0.020751035431168987,0.019743910872035128,0.453,0.02293586673544203,0.375,7,10,1720,17,-0.032714689788597394,-0.004329004329010073,0.15714285714285597
L2/3 IT,AL353072.2,496,0.04454830180356251,0.037268930120957465,0.002,0.033766706880240645,0.1,26,3863,14197,26,-0.07324337986936717,0.03959526274613838,0.07944125944348256
L4 IT,AL353072.2,496,0.026952948034300518,0.022781706857279493,0.082,0.024182642594332143,0.089,24,1860,5974,24,-0.004809238853053539,0.02066581624386228,0.07225849306043962
Oligodendrocyte,AL353072.2,496,0.05310481057752896,0.01561892544990546,0.061,0.0259279565928963,0.239,5,8,2240,16,-0.030303030303029634,-0.0068027210884378814,0.1117036983486662
Astrocyte,CARTPT,497,0.002728511193304842,0.01864979466484683,0.967,-0.0018132058320930765,0.96,15,67,1720,17,-0.02957294311203065,-0.008176634745987864,0.028847129883427094
L2/3 IT,CARTPT,497,0.053233600280490755,0.037517398935990216,0.001,0.04283979570819245,0.001,26,7260,14197,26,-0.02022225531858554,0.04406473511041203,0.10188681062213277
L4 IT,CARTPT,497,0.0180146071634692,0.02256342119883938,0.834,0.022254123611309105,0.272,24,398,5974,24,-0.04142187155194719,0.01631869964116428,0.13953488372092965
Oligodendrocyte,CARTPT,497,0.00561782250991919,0.020848557699504743,0.965,-0.0030978966949732805,0.874,16,84,2240,16,-0.03361265417076247,-0.010417090139110192,0.04287207227571385
Astrocyte,FAM189A2,499,0.02242019884134538,0.02174416630597338,0.034,0.018123324012089236,0.043,17,1720,1720,17,-0.007445713760158735,0.016737106224703837,0.03798510303200596
L2/3 IT,FAM189A2,499,0.06978527299919653,0.037222662753119556,0.001,0.05522996091906042,0.001,26,7517,14197,26,-0.04601617929047196,0.060638271796526866,0.09476821130753639
L4 IT,FAM189A2,499,0.021517961423784652,0.02267300999656436,0.715,0.01868087066165981,0.598,24,3475,5974,24,-0.017213487272893544,0.020283386415351254,0.0426746902650317
Oligodendrocyte,FAM189A2,499,0.023784060893347114,0.02029326562095319,0.238,0.020470938741157543,0.109,16,669,2240,16,-0.048606791515510464,0.026213879732758516,0.08302899850011862
Astrocyte,KIT,490,0.04882108913401171,0.02226256533799314,0.002,0.03599094389583992,0.006,17,375,1720,17,-0.041154741284721574,0.037997723125213774,0.10921582220214661
L2/3 IT,KIT,490,0.03809599023598607,0.03598586988465069,0.205,0.03286476305985238,0.18,26,2104,14197,26,-0.03279432716096244,0.03344331491000923,0.07938893313400297
L4 IT,KIT,490,0.026667658292045766,0.02211102858164362,0.103,0.025745534353037947,0.069,24,1134,5974,24,-0.003753764845625219,0.02376606667290184,0.05677890631242872
Oligodendrocyte,KIT,490,0.017337868367623133,0.021325724763548132,0.81,0.0003849700064300789,0.995,16,824,2240,16,-0.034570677444189214,-0.005409949145863961,0.047216323068224826
Astrocyte,LINC02211,484,0.03888691670947477,0.015689433421508223,0.01,0.026615209670988776,0.136,16,131,1720,17,-0.05001566080943764,0.020025208322433794,0.08675866146604652
L2/3 IT,LINC02211,484,0.04116766030726916,0.03620609054377432,0.015,0.034726338626492013,0.06,26,3217,14197,26,-0.031257290482152617,0.03851695817632324,0.07897612293312913
L4 IT,LINC02211,484,0.026849954414546767,0.021915726796204175,0.075,0.028224012748579903,0.02,24,1048,5974,24,0.0013973628199106343,0.024175884873985705,0.09337109647284234
Oligodendrocyte,LINC02211,484,-0.002863462690015776,0.020777919239581836,0.982,-0.009527833568247237,0.664,13,92,2240,16,-0.040592476788711224,-0.014814814814817837,0.03241161384660606
Astrocyte,NPSR1-AS1,499,0.036861370720948465,0.021529673879885115,0.011,0.033591362400064585,0.018,17,400,1720,17,-0.030303030303029645,0.04340426530346446,0.09391141600746458
L2/3 IT,NPSR1-AS1,499,0.05973033077683486,0.03734877240320346,0.001,0.04842486723726665,0.001,26,8783,14197,26,0.0005965478398172833,0.05332465032864017,0.09187241132902366
L4 IT,NPSR1-AS1,499,0.023432236413983114,0.022647623608244204,0.074,0.020153565824848868,0.092,24,5512,5974,24,-0.010160422408907742,0.020051127739844625,0.03860492346565495
Oligodendrocyte,NPSR1-AS1,499,0.01966246134150077,0.018908793526253343,0.443,0.021229280679352664,0.17,14,171,2240,16,-0.053510312492008015,0.014393539533824842,0.1116324237659363
Astrocyte,RUNX1,499,0.022384394790598186,0.02169417110798237,0.034,0.017891716637720864,0.115,17,1720,1720,17,-0.007044204795880908,0.018031390478431622,0.03602958424599301
L2/3 IT,RUNX1,499,0.03863284470269257,0.0371696734641968,0.001,0.03090412092295954,0.001,26,14197,14197,26,-0.010807832021963082,0.03121077226327475,0.0677996406308078
L4 IT,RUNX1,499,0.022770833313098038,0.022662209074903537,0.264,0.019197586057056553,0.787,24,5974,5974,24,-0.018570745576536315,0.01977885366158159,0.0354824305572146
Oligodendrocyte,RUNX1,499,0.021143797520944238,0.02148515811907558,0.852,0.012190976650965349,0.64,16,2240,2240,16,-0.005818580505419587,0.009643454366755072,0.03464657569123979
Astrocyte,TBX18,459,0.022365040955921563,0.02170243287553242,0.131,0.0182221065282542,0.111,17,1720,1720,17,-0.005157220411015653,0.017944853438026168,0.03870541628711861
L2/3 IT,TBX18,459,0.038232415304150114,0.03720167864032442,0.001,0.03056562384908806,0.001,26,14197,14197,26,-0.014823827429853794,0.031178096593582776,0.06756331669260636
L4 IT,TBX18,459,0.02257112609316983,0.022652597451367513,0.602,0.01924237639425787,0.626,24,5974,5974,24,-0.01355795810179802,0.020365463426423928,0.03561322371406355
Oligodendrocyte,TBX18,459,0.021112597933152167,0.021494696941660094,0.746,0.011518790934002857,0.865,16,2240,2240,16,-0.008179793212768677,0.007544882808968111,0.03441353084727966
