pc,expr_R2,morans_raw,p_raw,morans_resid,p_resid
1,0.2644388675689697,0.373535943870407,0.001,0.18443016883837762,0.001
2,0.5935189127922058,0.11983212476366793,0.001,0.1128022520352797,0.001
3,0.6054389476776123,0.16246369735766797,0.001,0.12179329973529324,0.001
4,0.4100337624549866,0.6330502719671179,0.001,0.28062755348980023,0.001
5,0.34475070238113403,0.5556341787767243,0.001,0.2754853907607337,0.001
6,0.27632081508636475,0.13265107688074634,0.001,0.0872090598482096,0.001
7,0.15998214483261108,0.21680029332016076,0.001,0.0588410716887994,0.001
8,0.1735045313835144,0.2049609764628416,0.001,0.06386211182184039,0.001
9,0.04080641269683838,0.13863474491741198,0.001,0.09396915713953621,0.001
10,0.07220137119293213,0.09813273558183626,0.001,0.050000885984081034,0.003
11,0.06795233488082886,0.0692055568398388,0.001,0.04598226836568558,0.008
12,0.027868926525115967,0.046781584521985754,0.008,0.04873230078857729,0.002
13,0.05931973457336426,0.05597391452156472,0.001,0.04073161725325384,0.063
14,0.03740614652633667,0.06935391476766802,0.001,0.0560202219777885,0.001
15,0.04351401329040527,0.05028674816773408,0.003,0.04772576173580964,0.002
16,0.10842388868331909,0.04707508536974319,0.002,0.031714831440839836,0.424
17,0.04997968673706055,0.045857148999206024,0.005,0.037104371013947514,0.12
18,0.030974209308624268,0.0883006692456668,0.001,0.06475192932007705,0.001
19,0.027323246002197266,0.04068789499353244,0.04,0.03232659303052759,0.333
20,0.07360953092575073,0.046372863156001906,0.005,0.02713716112622266,0.863
