subtype,n_cells,n_sections,n_pairs,r_GS,r_GE,r_SE,partial_r,p_perm
Astrocyte,1856,17,132920,-0.003163027111440897,0.2384541779756546,0.006368571426719427,-0.004820796420949042,0.944
L2/3 IT,14224,26,5288018,0.005142956040799618,0.3283885419368744,0.008407614193856716,0.0025219357439073033,0.869
L4 IT,6012,24,865133,-0.007587940897792578,0.34241974353790283,0.018796676769852638,-0.01492929152751363,0.012
Oligodendrocyte,2369,16,276747,-0.03875942528247833,0.09244164079427719,0.02460179664194584,-0.04122258998205506,0.022
