regulator,mag_c0,mag_c1,ratio_c0_over_c1,louder,is_top20
EYA2,0.048140123,0.04135985,1.1639338,c0,False
BCAS1,0.080885485,0.07185658,1.1256517,c0,False
MIR646HG,0.023528032,0.018509114,1.2711593,c0,False
AJ009632.2,0.04140627,0.014968349,2.7662551,c0,False
LINC01687,0.00032937937,0.00016906831,1.9482028,c0,False
GRIK1,0.01731207,0.011790935,1.4682525,c0,False
RUNX1,0.08286616,0.07370655,1.1242713,c0,False
ERG,0.15244243,0.13505702,1.1287265,c0,False
FAM230F,0.049481217,0.039370406,1.2568125,c0,False
CLDN5,0.06111674,0.05497437,1.1117315,c0,False
FBLN1,0.07939495,0.064555794,1.2298657,c0,False
AC112493.1,0.036087282,0.031804174,1.1346712,c0,False
VSIG4,0.00013015787,0.00016481217,0.7897346,c1,False
PLP1,0.01064997,0.0084794955,1.2559674,c0,False
XACT,0.004928842,0.003618509,1.3621197,c0,False
HTR2C,0.004745884,0.0046057263,1.0304312,c0,False
FGF13,0.037661623,0.033279713,1.131669,c0,False
LINC00278,0.10050893,0.09349991,1.0749629,c0,False
PCDH11Y,0.01876136,0.022318292,0.840627,c1,False
AC010086.3,0.0002856431,0.00017978375,1.5888149,c0,False
