dist_center,grn_mean_dissim,grn_sem,grn_n_pairs,expr_mean_dissim,expr_sem,expr_n_pairs
198.8819580078125,0.7935246,3.42600039517596e-05,264399,0.5800453,0.00038232098986471066,264399
504.3393920898438,0.79403836,3.29305071170584e-05,264403,0.6020937,0.00037992832524552715,264403
703.2406066894532,0.79446876,3.246397632463248e-05,264396,0.61847645,0.0003814331368224764,264396
883.2595458984375,0.79489446,3.244956113231278e-05,264406,0.6301264,0.00038355240796836325,264406
1062.2259002685546,0.79502225,3.2338866193505954e-05,264401,0.63445777,0.00038373147552265966,264401
1251.4382965087893,0.79495776,3.2626283337784125e-05,264401,0.6331352,0.00038278196728185765,264401
1455.5030395507815,0.79484725,3.2379494536877116e-05,264399,0.63230586,0.0003823852373156956,264399
1676.3168701171876,0.79494256,3.2421004795527365e-05,264402,0.6336573,0.00038057800593802325,264402
1914.888592529297,0.7948354,3.2643790484616857e-05,264401,0.6335282,0.00037863971765805923,264401
2173.628851318359,0.79476005,3.2248048548514554e-05,264401,0.63261735,0.00037688438076924927,264401
2451.0314331054688,0.79459596,3.234465844009928e-05,264401,0.6311075,0.0003755095137016964,264401
2744.004638671876,0.7945352,3.240955406093694e-05,264401,0.6302851,0.00037608996998319383,264401
3051.4265869140636,0.79459417,3.269917363543947e-05,264401,0.62560916,0.00038022471395662247,264401
3368.62373046875,0.7948284,3.3034089703638664e-05,264399,0.62260085,0.00038691823259332924,264399
3695.466064453125,0.79525524,3.3515049073311665e-05,264402,0.6205847,0.00039228500165688375,264402
4037.5894775390634,0.7954843,3.4254846459222865e-05,264401,0.61663926,0.0003968456434381589,264401
4408.091174316407,0.7955097,3.4141037326346635e-05,264401,0.61075854,0.00039972627727488837,264401
4859.016467285156,0.79516006,3.386009717320755e-05,264398,0.6132686,0.0003933310864713485,264398
5541.085864257814,0.794344,3.3766439869787955e-05,264404,0.6245128,0.00037483092236491745,264404
9437.216235351563,0.7940352,3.696950036982118e-05,264395,0.6286687,0.00037281965009467333,264395
