dist_center,wjac_mean_dissim,wjac_sem,n_pairs
195.7413734553333,0.8820277534115705,4.0247449317621876e-05,65491
497.70274523812844,0.882331946273419,4.055321368590589e-05,65496
695.5779459919661,0.8826699006994855,4.0714379760417805e-05,65493
874.8732715391984,0.8830490470021747,3.9525437024301776e-05,65492
1052.4982258589862,0.8832010254498223,4.090911639837978e-05,65494
1236.4406303501673,0.8832210792965214,4.115845092733565e-05,65493
1432.705010067003,0.8831078310666481,4.154112107134393e-05,65493
1644.9508435502769,0.8832784585892839,4.098679926614313e-05,65493
1874.2505859283528,0.8832075768472832,4.1367969430763616e-05,65493
2122.9603761739936,0.8831984264026109,4.131691106354859e-05,65493
2390.854787706644,0.8830771694315275,4.10661511640547e-05,65494
2675.115200093692,0.883005880879764,4.0818498891813516e-05,65493
2975.2682299314847,0.8829806553549515,4.195560344542935e-05,65491
3292.7218706472977,0.8830428662186534,4.23888437497024e-05,65495
3631.893566072432,0.8832722361366687,4.15574005829582e-05,65493
4001.247713517079,0.8834148359413742,4.227742975928922e-05,65493
4411.687069008826,0.8835281946503569,4.237920353900493e-05,65492
4906.690217682763,0.8833375080733291,4.264152123027377e-05,65494
5620.3796751642,0.8832140112989514,4.429044465904843e-05,65491
9481.745854485449,0.883259672308681,5.2844398876301676e-05,65487
