dist_center,grn_mean_dissim,grn_sem,grn_n_pairs,expr_mean_dissim,expr_sem,expr_n_pairs
310.7185363769531,0.7304408,0.00039538217466133054,6639,0.22698753,0.0014117589116642828,6639
783.2149108886719,0.73035,0.0003916494690540714,6653,0.22153002,0.0013712729319154638,6653
1075.08046875,0.7312377,0.0003845820711303728,6646,0.22534679,0.0013911257898646173,6646
1323.347998046875,0.7309322,0.0003932019711653271,6646,0.22531757,0.001347773452693035,6646
1552.6126586914063,0.7312579,0.0003876661067195215,6646,0.22662972,0.0013861349438285284,6646
1773.0462158203127,0.73134303,0.00038959023602093336,6646,0.22677729,0.0013657853355206005,6646
1989.19130859375,0.73040646,0.0004027663199713072,6646,0.22554351,0.0013691990233951265,6646
2205.1386474609376,0.7303725,0.00039911204167780245,6646,0.22790536,0.0013773253589257335,6646
2425.2191406250004,0.7312785,0.0003960202467503882,6639,0.22529712,0.0013379887987081764,6639
2648.0411987304688,0.7315106,0.0003903722019914469,6653,0.22945769,0.0013639686779359382,6653
2879.2587036132813,0.7307889,0.00039429200798476045,6646,0.22976197,0.0013687352985001986,6646
3120.8826660156255,0.7313503,0.00039429333317415275,6646,0.22760122,0.0013349156426777393,6646
3383.2565490722664,0.73036665,0.00038672549642811485,6646,0.22751702,0.0013757128319162523,6646
3678.333038330078,0.7307389,0.0004122130924908614,6646,0.22743912,0.0013618805964319537,6646
4003.1570556640627,0.7311037,0.00039635795904641554,6645,0.22787803,0.0013475584372798887,6645
4370.683349609375,0.7311025,0.0003746101933646667,6647,0.22717066,0.0013310988500005712,6647
4812.55517578125,0.73067605,0.00040792768720556094,6645,0.22453378,0.0013339265135787085,6645
5362.546875,0.7307397,0.0003903606490198629,6644,0.22469714,0.0013322380777068725,6644
6102.466284179689,0.7311775,0.0003869372105217164,6649,0.22858614,0.001349586629845116,6649
9665.877661132814,0.7300612,0.00043410004478352355,6645,0.229163,0.0013920307523725875,6645
