dist_center,wjac_mean_dissim,wjac_sem,n_pairs
140.1183291344908,0.8800570086740771,6.38636592810229e-05,39141
369.95334905198456,0.8807509701266358,6.174632304970301e-05,39142
551.4422288692681,0.8808118186392343,6.396673737135724e-05,39140
738.8854809721386,0.8808045656891448,6.34351133773078e-05,39142
935.4037931857846,0.8809180124512204,6.289531492930351e-05,39142
1143.7973701253754,0.8807297439781812,6.276816822832043e-05,39141
1363.9655406946176,0.8806837545717101,6.50597454843881e-05,39141
1594.4444232674769,0.8809134278108482,6.411704095717539e-05,39143
1835.0111825395556,0.8806971387740603,6.327949317815329e-05,39141
2084.4897892505924,0.8805659852864856,6.470162230341747e-05,39140
2344.9391998169913,0.8808337453666817,6.303331473018511e-05,39143
2617.8004781696604,0.880682035916669,6.343981565163567e-05,39140
2900.6973337653135,0.8807271260256712,6.357961321079836e-05,39142
3196.937100837662,0.8807560174561604,6.269694241554802e-05,39141
3517.3878712268256,0.8806588628201872,6.488278604809038e-05,39141
3876.0250150460206,0.8806702306116372,6.308288284317418e-05,39142
4287.122569445496,0.8803405137394282,6.494681367064579e-05,39142
4801.588877701537,0.8803652798422881,6.592467034704532e-05,39140
5528.045518398526,0.880480757305206,6.653634265775168e-05,39139
9596.350817323364,0.8815750723062622,7.2750652072432e-05,39143
