dist_center,wjac_mean_dissim,wjac_sem,n_pairs
306.4025954996644,0.8334992118639434,0.00022193812202629722,6646
779.1674880835055,0.8336832173933224,0.0002090441842318296,6646
1073.0872163276817,0.834417557648209,0.000205636489476783,6646
1319.782971756391,0.8342255073350744,0.00021385557648077476,6645
1550.4454971274095,0.8338289882927182,0.00021772595217281872,6644
1772.090675769859,0.8341915613099997,0.00020734411223535175,6649
1990.0543307881599,0.8342343416247711,0.0002069165029741225,6646
2206.086460606421,0.8334756566593978,0.0002211626856610781,6644
2424.176009294582,0.8339964694506786,0.00022722776428322656,6645
2647.52204507483,0.8344351032789737,0.00021513117922764387,6646
2881.0084288111466,0.8339383673093838,0.00021722103400846873,6645
3125.0033423033265,0.834231433509884,0.00021980506318341138,6650
3388.2797309819416,0.833486256559199,0.0002131471579572385,6638
3682.011725780425,0.833930829614356,0.00022060504765020265,6654
4001.4855559856787,0.8345702093138309,0.00021023236116917993,6646
4368.416498326373,0.83408529668589,0.00020862451356543752,6646
4815.9679006988135,0.8339889466807392,0.00022008254895809195,6645
5368.2715574030135,0.8337580308163361,0.00020699758493056814,6643
6111.062462144047,0.8343327264947102,0.00020956078635757662,6650
9616.410467836335,0.8339441860725268,0.00023285550557882823,6643
