dist_center,grn_mean_dissim,grn_sem,grn_n_pairs,expr_mean_dissim,expr_sem,expr_n_pairs
138.3454132080078,0.7916394,0.0001000907901566556,43256,0.49119508,0.0009475184806063316,43256
366.36516723632815,0.7923472,9.553283782516902e-05,43258,0.50235766,0.0009551947062828182,43258
546.7301422119142,0.7922599,9.813572748754818e-05,43256,0.5034407,0.0009523747738825486,43256
732.428192138672,0.7922934,9.791759660847334e-05,43254,0.50305885,0.0009544101857234101,43254
928.4040832519531,0.7923526,9.87157423417934e-05,43259,0.5020975,0.0009543646277297075,43259
1135.8685913085938,0.7922813,9.717357335227462e-05,43256,0.5027042,0.000952028576436204,43256
1354.3075439453125,0.7922088,9.963375340563375e-05,43258,0.50335056,0.0009575124990551486,43258
1582.5686645507817,0.79224217,0.00010014621792971609,43256,0.50109917,0.0009578308943567781,43256
1821.580212402344,0.79203093,9.902910797290388e-05,43255,0.501713,0.0009544774641735043,43255
2070.7301635742188,0.79186517,0.00010175759375736528,43258,0.5006704,0.0009533764236093622,43258
2329.617529296875,0.79219395,9.9338433923274e-05,43257,0.50261337,0.0009546830896166415,43257
2600.912817382813,0.79205143,9.893504010785045e-05,43257,0.50041187,0.0009514754984497099,43257
2884.2415771484384,0.79192096,9.975165887818061e-05,43256,0.49990574,0.0009606214664465285,43256
3181.53125,0.7921307,9.920323863195327e-05,43255,0.5033621,0.000958760130845939,43255
3502.9957275390625,0.79178923,0.00010306050588327519,43258,0.50265515,0.0009625775257261224,43258
3860.800122070314,0.79171544,0.00010122676261754108,43257,0.5063978,0.0009655262809851493,43257
4271.532104492189,0.7915308,0.00010308947786882897,43257,0.5060711,0.0009557862229916078,43257
4782.188037109376,0.7913016,0.00010465889304519868,43256,0.5120419,0.0009535284310185254,43256
5497.72314453125,0.7913559,0.00010690346261234351,43256,0.51652426,0.0009585724389697057,43256
9615.12646484375,0.7919446,0.0001210546034824396,43257,0.51316696,0.000996100635904933,43257
