dist_center,grn_mean_dissim,grn_sem,grn_n_pairs,expr_mean_dissim,expr_sem,expr_n_pairs
213.66848754882812,0.7802773,0.0001966532135012338,13835,0.30282176,0.0008278771991276329,13835
537.7731323242188,0.7806668,0.00019529537638675876,13839,0.305113,0.0008379549735761605,13839
739.1066192626954,0.7807923,0.00019520489467401164,13838,0.30440956,0.0008322781963085042,13838
914.8769744873048,0.78094935,0.00018082888539751012,13837,0.30597478,0.0008352513661803165,13837
1081.8134765625,0.7807287,0.00018952114843765152,13838,0.30808797,0.0008448901859318304,13838
1244.055895996094,0.78066987,0.00019671687579162227,13837,0.30616558,0.0008310344655389009,13837
1406.3438598632815,0.78066283,0.00019095997382887625,13837,0.3048993,0.000827550583674587,13837
1569.8856445312501,0.7806264,0.00019613009713987588,13838,0.3060158,0.000841855928463558,13838
1736.7075744628905,0.7804367,0.00020063752549765384,13837,0.30642015,0.0008289800747987907,13837
1911.7282409667969,0.7805122,0.00019256738336186579,13837,0.3049996,0.000833299394118386,13837
2095.2150268554688,0.78064585,0.000195255667813307,13837,0.30721,0.000838353949069589,13837
2288.4786376953125,0.78037846,0.00019297795094368888,13836,0.30666745,0.0008384777359317712,13836
2494.4942626953125,0.7800223,0.00019832912151489525,13838,0.3084966,0.0008315224029094415,13838
2720.94306640625,0.77993083,0.00019732821173850645,13839,0.30543256,0.0008219340371103617,13839
2971.654187011719,0.78045547,0.00019225149742942816,13837,0.30747828,0.0008416098749519803,13837
3256.8764282226566,0.77980024,0.00019888472197841727,13837,0.30655402,0.0008314564912981534,13837
3595.209655761719,0.77925736,0.00021342522853574417,13838,0.30770037,0.0008355105700721145,13838
4026.1589477539064,0.7787845,0.00021510828080604578,13837,0.30747455,0.000840762023111465,13837
4674.428955078125,0.77889454,0.0002165618881403403,13837,0.30978596,0.0008438119082021937,13837
7950.42373046875,0.7765469,0.0002513480406542848,13837,0.3168711,0.0008668126604443045,13837
